pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3PE2_ORTHOSTERIC_E1B_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_0.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_0,0.9544604420661926,0.9816257357597351,0.9909490346908569,0.9909490346908569,0.0,0.945338249206543,0.941387951374054,0.28827279806137085,0.3488897681236267,0.9818307161331177,0.9427810311317444,0.9818307161331177,0.858784019947052,0.9909490346908569,0.9427810311317444,2.7577396541370613,23.859427127861252,85,321,640,8.803900001892941,23.833907390298627,185,7.115384615384615,131,0,16,4,1.405843111285995,81,15.216999999999999,14.257,14.05,3048.13020445,8.227,6.716999999999999,9.416,520.3353067439999,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_1.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_1,0.9534466862678528,0.9855037331581116,0.9915880560874939,0.9915880560874939,0.0,0.9439113140106201,0.9397084712982178,0.2813700735569,0.3351952135562897,0.985649585723877,0.9515538811683655,0.985649585723877,0.8804981708526611,0.9915880560874939,0.9515538811683655,2.77074087565041,23.98175129282504,71,290,589,8.78558579172077,23.97452455204938,170,6.538461538461538,125,0,17,4,1.377204674930958,74,15.407,13.249,14.172,2892.8927049960002,6.2719999999999985,9.197999999999999,8.919,514.5358256639998,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_10.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_10,0.9507385492324829,0.9758521914482117,0.9886870980262756,0.9886870980262756,0.0,0.9412513971328735,0.9383438229560852,0.2989080250263214,0.3639959394931793,0.9759727716445923,0.9386827349662781,0.9759727716445923,0.8328234553337097,0.9886870980262756,0.9386827349662781,2.770451587737999,24.05210367912868,80,316,630,8.870098955509382,24.035058276990092,175,6.730769230769231,116,0,18,3,1.037775205871277,82,14.614,15.405,13.998999999999999,3151.5762513299996,9.083,3.2479999999999993,9.02,266.1042876799999,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_11.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_11,0.9505077600479126,0.980810821056366,0.9833304286003113,0.9833304286003113,0.0,0.9423021078109741,0.9204968214035034,0.29764002561569214,0.40632691979408264,0.9814409613609314,0.9393469095230103,0.9814409613609314,0.8497517108917236,0.9833304286003113,0.9393469095230103,2.7648178963541152,23.94223081280412,79,298,610,8.829290017751207,23.96241820795965,172,6.615384615384615,132,2,17,4,1.1636786560997634,74,14.56,13.587,14.939,2955.33337008,8.078000000000001,8.901,6.859000000000001,493.1777248020001,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_12.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_12,0.9505071043968201,0.9836097955703735,0.9818702936172485,0.9818702936172485,0.0,0.9426662921905518,0.9317149519920349,0.297590434551239,0.3979320228099823,0.984538733959198,0.942267894744873,0.984538733959198,0.8596975803375244,0.9818702936172485,0.942267894744873,2.053042133030883,24.270778397158168,79,290,594,9.003585003268912,24.208787990422973,174,6.6923076923076925,126,0,16,4,1.5760449382098227,75,14.604000000000001,14.834999999999999,14.959,3240.87243606,8.83,2.7379999999999995,11.469000000000001,277.28073725999997,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_13.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_13,0.9500981569290161,0.9827208518981934,0.9828855395317078,0.9828855395317078,0.0,0.9419012665748596,0.9203602075576782,0.2972601056098938,0.4145228862762451,0.9835665225982666,0.9383009672164917,0.9835665225982666,0.8441579341888428,0.9828855395317078,0.9383009672164917,3.0332635889417845,23.881451974167362,64,287,593,8.800532581511039,23.875683340910122,165,6.346153846153846,128,2,15,4,0.8231597050365078,75,13.827,14.780999999999999,14.899,3045.0112394129997,12.498,7.298,4.053,369.67576741199997,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_14.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_14,0.9499726295471191,0.9826108813285828,0.9902926087379456,0.9902926087379456,0.0,0.9398926496505737,0.9322385191917419,0.28533461689949036,0.346299409866333,0.9828795194625854,0.9419762492179871,0.9828795194625854,0.8514343500137329,0.9902926087379456,0.9419762492179871,2.734378357140797,24.14543908882206,59,286,595,8.930666177705671,24.13653445436454,163,6.269230769230769,113,0,16,4,1.4991784907691161,73,14.205,14.93,14.511999999999999,3077.7143927999996,8.764,8.873000000000001,5.816999999999999,452.34720812399996,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_15.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_15,0.9498770833015442,0.983260452747345,0.9863267540931702,0.9863267540931702,0.0,0.9407646059989929,0.9202861189842224,0.3037729859352112,0.41365984082221985,0.9836246371269226,0.9461320638656616,0.9836246371269226,0.8606105446815491,0.9863267540931702,0.9461320638656616,2.2685303612691623,24.167485770092814,88,327,655,8.989739828806783,24.20367261381687,190,7.3076923076923075,126,25,17,6,1.2406001940589417,79,13.638000000000002,13.297,14.547,2638.0182378420004,9.918,8.174,8.252999999999998,669.0684981959997,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_16.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_16,0.9496766924858093,0.9815360903739929,0.9851289391517639,0.9851289391517639,0.0,0.9408136606216431,0.9171386957168579,0.3030531406402588,0.4247279167175293,0.9820139408111572,0.9460047483444214,0.9820139408111572,0.8534636497497559,0.9851289391517639,0.9460047483444214,2.4092870314680233,24.09308452747345,75,324,650,8.960400479820214,24.12474160995869,178,6.846153846153846,120,14,17,4,0.7146381144823613,90,15.171,14.421,14.511,3174.7309604009993,7.869,11.45,5.875,529.33779375,26,20,4,2,0,0
3PE2_ORTHOSTERIC_E1B_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3PE2_ORTHOSTERIC_E1B_config_0/predictions/3PE2_ORTHOSTERIC_E1B_config_0/3PE2_ORTHOSTERIC_E1B_config_0_model_17.pdb,3PE2_ORTHOSTERIC_E1B_config_0_model_17,0.9495207071304321,0.9811747670173645,0.9896758794784546,0.9896758794784546,0.0,0.9394818544387817,0.9316351413726807,0.2918647527694702,0.35401853919029236,0.9813321828842163,0.943491518497467,0.9813321828842163,0.8560556769371033,0.9896758794784546,0.943491518497467,2.7413420071198704,23.870086248013124,80,325,651,8.885307991602723,23.752424793533265,188,7.230769230769231,127,2,19,4,1.0121563562815092,79,13.971,15.221,13.732,2920.145379612,8.841000000000001,2.7430000000000003,9.124,221.26487401200006,26,20,4,2,0,0
