pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
5A1R_ALLOSTERIC_STR_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_0.pdb,5A1R_ALLOSTERIC_STR_config_0_model_0,0.8855316042900085,0.9424644112586975,0.9373176693916321,0.9373176693916321,0.0,0.872585117816925,0.8287871479988098,0.4736962616443634,1.5023515224456787,0.9437045454978943,0.8991454839706421,0.9437045454978943,0.45895087718963623,0.9373176693916321,0.8991454839706421,2.3607090036681777,23.471731311396862,75,271,620,8.110204291413352,23.340085379020305,147,6.391304347826087,102,20,15,2,0.5561988804737612,72,13.929,14.882,13.431999999999999,2784.3377892959998,10.423,6.213,4.163,269.587966137,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_1.pdb,5A1R_ALLOSTERIC_STR_config_0_model_1,0.8814389109611511,0.9541974067687988,0.9183377027511597,0.9183377027511597,0.0,0.8722141981124878,0.8186125755310059,0.4530520439147949,1.738240122795105,0.956716775894165,0.9053009152412415,0.956716775894165,0.4345928132534027,0.9183377027511597,0.9053009152412415,2.5722785618979915,22.943552709301688,36,151,356,7.3774935865994635,22.916860397943225,83,3.608695652173913,48,20,12,1,2.122743975501616,44,13.489,12.904,14.587,2539.043210872,11.208,4.735,5.703999999999999,302.71059551999997,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_10.pdb,5A1R_ALLOSTERIC_STR_config_0_model_10,0.8736819624900818,0.9391655325889587,0.907192587852478,0.907192587852478,0.0,0.8653042912483215,0.7796444892883301,0.49637386202812195,1.718096375465393,0.9416484236717224,0.8992562890052795,0.9416484236717224,0.40073487162590027,0.907192587852478,0.8992562890052795,2.560798703529818,23.35236589565749,66,225,566,8.023258016192258,23.171096995908137,119,5.173913043478261,93,14,15,2,1.230693654558613,71,13.912,11.629000000000001,14.403,2330.1554791440003,5.761,10.429,3.4619999999999997,208.002045678,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_11.pdb,5A1R_ALLOSTERIC_STR_config_0_model_11,0.8736549615859985,0.9314231872558594,0.930406928062439,0.930406928062439,0.0,0.8594669103622437,0.8169912099838257,0.4944024085998535,1.5033817291259766,0.9323933720588684,0.8999719619750977,0.9323933720588684,0.4418298602104187,0.930406928062439,0.8999719619750977,2.7987386444611073,23.048669881285193,44,200,558,7.7823791468964005,22.946936341805685,101,4.391304347826087,50,29,20,2,1.3742038383247535,73,14.526,14.264000000000001,13.619,2821.841328816,3.561,5.966999999999999,10.609,225.42519858299994,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_12.pdb,5A1R_ALLOSTERIC_STR_config_0_model_12,0.8731966018676758,0.9442587494850159,0.9025203585624695,0.9025203585624695,0.0,0.8658656477928162,0.789531409740448,0.49393463134765625,1.865539789199829,0.9470670819282532,0.9049985408782959,0.9470670819282532,0.41138216853141785,0.9025203585624695,0.9049985408782959,2.2121326813733395,23.177916451145897,55,255,628,7.894025845085705,23.03478803895706,129,5.608695652173913,70,30,18,1,1.1515484288856237,79,15.152000000000001,14.66,10.497,2331.6809750400002,3.0180000000000002,11.780000000000001,6.199000000000001,220.38709596000007,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_13.pdb,5A1R_ALLOSTERIC_STR_config_0_model_13,0.8725599646568298,0.9383169412612915,0.9271368980407715,0.9271368980407715,0.0,0.8589156270027161,0.7507285475730896,0.48137861490249634,1.5462536811828613,0.9399700164794922,0.9079281687736511,0.9399700164794922,0.43444862961769104,0.9271368980407715,0.9079281687736511,2.4865303135091676,23.20733275862801,46,222,600,7.8010575562695355,23.154233954019944,117,5.086956521739131,62,31,15,2,1.0833543454216146,76,15.047,11.959,14.789000000000001,2661.237262597,6.0760000000000005,7.904,7.486,359.51293414400004,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_14.pdb,5A1R_ALLOSTERIC_STR_config_0_model_14,0.872501015663147,0.9411752820014954,0.8902095556259155,0.8902095556259155,0.0,0.8680738210678101,0.7482466101646423,0.5197878479957581,2.2222964763641357,0.9444635510444641,0.9103331565856934,0.9444635510444641,0.39152976870536804,0.8902095556259155,0.9103331565856934,2.6887240468296483,23.38627132382026,39,134,380,7.813625852165233,23.156103218806862,71,3.0869565217391304,62,9,13,0,2.2064378374453493,54,14.863,11.629999999999999,12.42,2146.8800898,6.569000000000001,10.903,3.775,270.37232142500005,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_15.pdb,5A1R_ALLOSTERIC_STR_config_0_model_15,0.8693944811820984,0.9315264821052551,0.8917897939682007,0.8917897939682007,0.0,0.8637956380844116,0.7697479724884033,0.5350632667541504,2.1168932914733887,0.9346386194229126,0.8905760645866394,0.9346386194229126,0.3746657967567444,0.8917897939682007,0.8905760645866394,3.2348939704416892,22.938507090413086,21,152,384,7.485530733468189,22.902179939907562,78,3.391304347826087,36,31,14,0,1.8923037258349105,52,11.626,14.933,13.195,2290.7979103099997,10.39,5.353000000000001,4.476000000000001,248.94469092000008,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_16.pdb,5A1R_ALLOSTERIC_STR_config_0_model_16,0.8689604997634888,0.9400249719619751,0.8979321122169495,0.8979321122169495,0.0,0.8617175817489624,0.7801790237426758,0.49868419766426086,1.8545706272125244,0.9430042505264282,0.8966487050056458,0.9430042505264282,0.381760835647583,0.8979321122169495,0.8966487050056458,2.7549827585667392,22.905327503540246,55,215,559,7.54992341641872,22.808937897185196,115,5.0,59,43,18,1,1.636155086198699,72,14.82,14.196,14.217,2991.03956424,7.639,3.588,9.550999999999998,261.78079933199996,23,21,0,2,0,0
5A1R_ALLOSTERIC_STR_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5A1R_ALLOSTERIC_STR_config_0/predictions/5A1R_ALLOSTERIC_STR_config_0/5A1R_ALLOSTERIC_STR_config_0_model_17.pdb,5A1R_ALLOSTERIC_STR_config_0_model_17,0.8689393401145935,0.9353057742118835,0.904414176940918,0.904414176940918,0.0,0.8600705862045288,0.7771892547607422,0.5113465785980225,1.846926212310791,0.9375753998756409,0.9014651775360107,0.9375753998756409,0.4054862856864929,0.904414176940918,0.9014651775360107,2.7348275996852167,23.233644919183348,43,206,568,7.9097453335186065,23.14603026438215,101,4.391304347826087,70,19,18,3,1.2783367375857049,77,14.619,13.761,14.139,2844.3717422009995,4.43,4.552,11.335999999999999,228.59452095999993,23,21,0,2,0,0
