pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3MVH_ORTHOSTERIC_WFE_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_0.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_0,0.9276458024978638,0.9636653065681458,0.990302324295044,0.990302324295044,0.0,0.9119816422462463,0.9227864742279053,0.3610142767429352,0.3878825306892395,0.9624673128128052,0.95126873254776,0.9624673128128052,0.6719375252723694,0.990302324295044,0.95126873254776,2.5133471706073554,21.412354879082173,83,319,716,7.283675898081453,21.285102889077834,187,6.448275862068965,82,18,23,3,1.1041798017153122,66,12.939,13.198,13.759,2349.6095977980003,12.300999999999998,6.5040000000000004,4.191000000000001,335.303905464,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_1.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_1,0.9218450784683228,0.9545220732688904,0.9877789616584778,0.9877789616584778,0.0,0.9053615927696228,0.9125864505767822,0.39410537481307983,0.41582781076431274,0.9529911279678345,0.9483492374420166,0.9529911279678345,0.6799530982971191,0.9877789616584778,0.9483492374420166,2.8025167260874646,21.423807771785434,77,302,672,7.295798544861871,21.330894964815663,171,5.896551724137931,80,22,21,3,1.6608573010906635,62,13.793,15.166,14.427,3017.906772426,10.244,4.691999999999999,8.762,421.1441981759999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_10.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_10,0.9147643446922302,0.9527031779289246,0.9799385070800781,0.9799385070800781,0.0,0.8984707593917847,0.9022554159164429,0.3972261846065521,0.4887442886829376,0.9519028663635254,0.9278041124343872,0.9519028663635254,0.5864188075065613,0.9799385070800781,0.9278041124343872,2.775454737515999,21.66848655841264,75,289,661,7.445783147958089,21.49373481939288,167,5.758620689655173,75,18,20,3,1.6359000551109721,61,13.547,14.124,14.123000000000001,2702.2641448440004,7.939,5.659000000000001,10.337,464.40834193700005,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_11.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_11,0.9144944548606873,0.9610483646392822,0.9870530366897583,0.9870530366897583,0.0,0.8963547945022583,0.8976750373840332,0.3823297619819641,0.45982831716537476,0.95993971824646,0.952460527420044,0.95993971824646,0.6767841577529907,0.9870530366897583,0.952460527420044,2.506111529840601,21.48010649490106,77,293,716,7.359691672783553,21.32743401100994,169,5.827586206896552,85,19,22,3,1.3181232644367824,63,14.4,12.588999999999999,12.583,2281.0663728,3.963,10.964,8.336,362.20196755200004,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_12.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_12,0.9142776727676392,0.9379355311393738,0.9859588146209717,0.9859588146209717,0.0,0.8963573575019836,0.9073206782341003,0.46230649948120117,0.46125954389572144,0.9354901313781738,0.9402616024017334,0.9354901313781738,0.6258939504623413,0.9859588146209717,0.9402616024017334,2.758007614202688,21.3659371283433,78,328,745,7.34980697260178,21.254722616386697,176,6.068965517241379,80,17,23,3,1.025646237614345,67,13.912,13.351,13.651,2535.5246179120004,7.061,6.3839999999999995,10.613,478.4067009119999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_13.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_13,0.9134406447410583,0.9376807808876038,0.9849710464477539,0.9849710464477539,0.0,0.8955579996109009,0.9026783108711243,0.444905161857605,0.45612162351608276,0.935386598110199,0.9379050731658936,0.935386598110199,0.6092270612716675,0.9849710464477539,0.9379050731658936,2.581429448968149,21.468673226465096,76,289,695,7.367078486085348,21.356357671449082,169,5.827586206896552,75,25,21,3,0.9273102153864626,67,14.584000000000001,15.391,12.947,2906.1139677680003,5.452999999999999,6.295999999999999,12.216999999999999,419.4351190959999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_14.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_14,0.9117490649223328,0.9681481122970581,0.986637532711029,0.986637532711029,0.0,0.8930269479751587,0.8955006003379822,0.3529118597507477,0.4218209981918335,0.9675876498222351,0.9530580043792725,0.9675876498222351,0.6866092085838318,0.986637532711029,0.9530580043792725,2.6754986451127203,21.467425686520276,77,301,703,7.33050690302292,21.393517148844353,171,5.896551724137931,79,17,21,3,1.5312067026780285,63,14.055,14.468,15.595,3171.2080053,9.919999999999998,7.038,8.439,589.1853254399999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_15.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_15,0.9115170836448669,0.9482331275939941,0.9843143224716187,0.9843143224716187,0.0,0.8933177590370178,0.8938483595848083,0.4259859621524811,0.48188698291778564,0.9466768503189087,0.9332667589187622,0.9466768503189087,0.6098831295967102,0.9843143224716187,0.9332667589187622,2.7546019676171003,21.3236827852214,87,313,726,7.28748842412181,21.26941668146955,183,6.310344827586207,86,20,23,5,1.1644724848499095,64,13.275,14.501999999999999,13.102,2522.3190831,11.661000000000001,5.977,5.417999999999999,377.622664146,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_16.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_16,0.9112557768821716,0.9591092467308044,0.9900677800178528,0.9900677800178528,0.0,0.8915526866912842,0.9060719013214111,0.36788445711135864,0.4029850363731384,0.9577794671058655,0.9565190672874451,0.9577794671058655,0.6879407167434692,0.9900677800178528,0.9565190672874451,2.391313864803196,21.576292158314285,92,342,761,7.464586550082898,21.43807813214557,198,6.827586206896552,89,29,22,3,1.0192195420469974,69,14.346,14.24,13.91,2841.6327263999997,10.244,6.941999999999999,8.723,620.3260961039999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_17.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_17,0.9112302660942078,0.9613825082778931,0.9902788400650024,0.9902788400650024,0.0,0.8914681673049927,0.9023640155792236,0.3730255961418152,0.4007945954799652,0.9601359367370605,0.9550394415855408,0.9601359367370605,0.6943745613098145,0.9902788400650024,0.9550394415855408,2.675951045890041,21.521621990626244,84,321,751,7.367756110256531,21.403205058498266,175,6.0344827586206895,85,22,22,3,1.2716951283323534,68,14.163999999999998,13.438,14.779,2812.9732611279996,8.604,10.839,5.555999999999999,518.1456483359999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_18.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_18.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_18,0.911005437374115,0.9658946990966797,0.9859129190444946,0.9859129190444946,0.0,0.8922785520553589,0.887916088104248,0.36526942253112793,0.43917152285575867,0.9652070999145508,0.9454596638679504,0.9652070999145508,0.6593368053436279,0.9859129190444946,0.9454596638679504,2.8022096638188945,21.275151079016076,72,299,727,7.2278038825177955,21.216551793299722,156,5.379310344827586,76,23,22,3,1.178207223397871,69,14.814,14.268,13.263,2803.349273976,7.991,7.391,10.245999999999999,605.1439343259999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_19.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_19.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_19,0.9108659029006958,0.9718249440193176,0.9873018860816956,0.9873018860816956,0.0,0.8917568922042847,0.9003022313117981,0.33247509598731995,0.412082701921463,0.9714239239692688,0.9451343417167664,0.9714239239692688,0.6968709230422974,0.9873018860816956,0.9451343417167664,2.8259692142696813,21.659244189430016,76,288,647,7.273598668326925,21.577137576576,175,6.0344827586206895,75,22,22,3,1.6657981389282561,61,14.429,13.318,13.034,2504.684110348,4.579,12.002,7.646000000000001,420.20243006800007,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_2.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_2.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_2,0.9214521646499634,0.9513075351715088,0.983622670173645,0.983622670173645,0.0,0.9059094786643982,0.902743399143219,0.4186074435710907,0.4791724681854248,0.9498139023780823,0.9496030807495117,0.9498139023780823,0.6794315576553345,0.983622670173645,0.9496030807495117,2.647685970805451,21.246864337542213,68,314,722,7.182722685770359,21.184925996508014,170,5.862068965517241,76,24,21,3,1.238993233406414,65,14.120999999999999,12.8,13.149000000000001,2376.6659712,6.332999999999999,11.528,7.1739999999999995,523.750955376,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_20.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_20.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_20,0.9105068445205688,0.9588018655776978,0.9866997599601746,0.9866997599601746,0.0,0.8914585709571838,0.9020847082138062,0.38224533200263977,0.43863415718078613,0.9576584696769714,0.949824333190918,0.9576584696769714,0.6668153405189514,0.9866997599601746,0.949824333190918,2.626007044925813,21.46211104926727,70,296,679,7.2873084604639065,21.290431524188627,168,5.793103448275862,74,22,21,3,1.4548397374200281,63,13.165999999999999,13.567,14.004999999999999,2501.6168236099998,10.556000000000001,8.386,5.783999999999999,512.0148109439999,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_21.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_21.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_21,0.9096464514732361,0.9540296792984009,0.9862780570983887,0.9862780570983887,0.0,0.8904885053634644,0.8981329202651978,0.3986945152282715,0.4385780096054077,0.952606201171875,0.9499543309211731,0.952606201171875,0.6625493168830872,0.9862780570983887,0.9499543309211731,2.558677001889844,21.412218645192002,93,327,761,7.370944552504733,21.249397438438354,184,6.344827586206897,84,19,23,3,1.5637836008204993,67,12.565,13.328,13.572,2272.85289504,10.119,6.314,7.021000000000001,448.581280686,29,20,6,1,0,2
3MVH_ORTHOSTERIC_WFE_config_0_model_22.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3MVH_ORTHOSTERIC_WFE_config_0/predictions/3MVH_ORTHOSTERIC_WFE_config_0/3MVH_ORTHOSTERIC_WFE_config_0_model_22.pdb,3MVH_ORTHOSTERIC_WFE_config_0_model_22,0.9091523289680481,0.9310692548751831,0.984885036945343,0.984885036945343,0.0,0.8902191519737244,0.8937863707542419,0.45853063464164734,0.4866761267185211,0.9287723898887634,0.9328609704971313,0.9287723898887634,0.6191501021385193,0.984885036945343,0.9328609704971313,2.5899451731648684,21.016925366228293,89,358,813,7.152154322429917,20.95648337500086,202,6.9655172413793105,83,30,23,4,0.7972694700731698,76,14.551,14.359,14.208000000000002,2968.5883902720007,8.348,8.202,9.591,656.698608936,29,20,6,1,0,2
