pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
4EBV_ALLOSTERIC_0O7_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_0.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_0,0.9066610336303711,0.9392399787902832,0.9895125031471252,0.9895125031471252,0.0,0.8859481811523438,0.9092844128608704,0.36215463280677795,0.36764201521873474,0.9365383982658386,0.92311030626297,0.9365383982658386,0.6567825675010681,0.9895125031471252,0.92311030626297,2.5632335047747796,24.29998519220958,63,246,550,11.368723357569928,22.909248645369505,132,5.5,77,25,14,3,1.1165634877621253,83,15.430000000000001,13.676,14.32,3021.8161376000003,2.981,12.760000000000002,5.832000000000001,221.83504992000007,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_1.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_1,0.9026498198509216,0.9566046595573425,0.9904225468635559,0.9904225468635559,0.0,0.8807066082954407,0.9116106033325195,0.3645523488521576,0.35024452209472656,0.9550182819366455,0.9180046319961548,0.9550182819366455,0.6629487872123718,0.9904225468635559,0.9180046319961548,2.735965825809964,22.707423452065594,65,242,544,7.974217822905597,22.766485531065058,133,5.541666666666667,77,26,15,3,1.1697520461003916,81,14.493,11.081,13.344000000000001,2143.005473952,7.699999999999999,9.991999999999999,7.622999999999999,586.5014231999999,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_10.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_10,0.8939377069473267,0.9354692697525024,0.9863450527191162,0.9863450527191162,0.0,0.8708358407020569,0.8997766375541687,0.4356129467487335,0.42303287982940674,0.9330644011497498,0.912812352180481,0.9330644011497498,0.6344096660614014,0.9863450527191162,0.912812352180481,2.5220578898986434,22.899946341360643,60,242,539,8.007884900727401,23.037527677680373,123,5.125,66,24,15,3,0.9272768340759349,80,12.688,11.579,15.152000000000001,2226.046261504,8.751000000000001,10.635,2.249999999999999,209.40049124999996,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_11.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_11,0.8929309844970703,0.9686960577964783,0.9883925914764404,0.9883925914764404,0.0,0.8690656423568726,0.8981555104255676,0.3384712040424347,0.36143958568573,0.9681636691093445,0.9182336926460266,0.9681636691093445,0.6603139638900757,0.9883925914764404,0.9182336926460266,2.7268006894527512,23.19248570693808,45,208,486,8.553687425833724,22.968247993667475,103,4.291666666666667,66,17,14,3,1.2302358576360068,76,12.776,14.539,13.147000000000002,2442.058720808,9.082,8.659,7.058,555.048446204,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_12.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_12,0.8925979733467102,0.9285112619400024,0.9885499477386475,0.9885499477386475,0.0,0.8686100244522095,0.8996052145957947,0.4635825455188751,0.3964332640171051,0.9247527718544006,0.9228001236915588,0.9247527718544006,0.6647197604179382,0.9885499477386475,0.9228001236915588,2.7081639536778424,22.8375386539709,60,252,545,8.023860689909078,22.954661834640362,139,5.791666666666667,79,27,15,3,0.9135250359950559,83,13.327000000000002,14.428,12.77,2455.4405781200003,9.654,7.881,8.227,625.936272498,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_13.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_13,0.8922050595283508,0.9662657976150513,0.9913680553436279,0.9913680553436279,0.0,0.8674142360687256,0.9040279388427734,0.33165547251701355,0.3371393084526062,0.9654039144515991,0.9230857491493225,0.9654039144515991,0.6703451871871948,0.9913680553436279,0.9230857491493225,2.6411938588448978,22.82734238767031,54,226,514,8.000075815838224,22.81498467935014,116,4.833333333333333,66,23,15,3,1.427133674057849,79,14.908000000000001,12.475,12.812999999999999,2382.9271449,10.5,6.7749999999999995,7.821000000000001,556.3663875,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_14.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_14,0.8903921246528625,0.9739646911621094,0.9914507865905762,0.9914507865905762,0.0,0.865127444267273,0.8958138227462769,0.2985020875930786,0.3365302085876465,0.973210871219635,0.9216284155845642,0.973210871219635,0.6865382790565491,0.9914507865905762,0.9216284155845642,2.746129093833718,23.045256553309052,60,258,569,8.501334488944162,22.93244366511363,131,5.458333333333333,75,25,16,3,0.9492114984850799,84,13.334999999999999,13.889,14.203999999999999,2630.7202122599997,11.897,5.546,6.6850000000000005,441.08139397,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_15.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_15,0.8902945518493652,0.9409713745117188,0.9866855144500732,0.9866855144500732,0.0,0.8661968111991882,0.8680778741836548,0.40249383449554443,0.4015200734138489,0.9388806223869324,0.9138745665550232,0.9388806223869324,0.631308913230896,0.9866855144500732,0.9138745665550232,2.5344168954613604,23.010045538588145,52,228,581,8.749501432434021,22.681957311801327,120,5.0,66,30,18,3,0.8809757196991234,82,14.7,10.322,14.126,2143.3860084,5.334,11.949,4.636,295.479938376,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_16.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_16,0.8897592425346375,0.9279554486274719,0.9873719811439514,0.9873719811439514,0.0,0.8653560876846313,0.8978956341743469,0.47413256764411926,0.40175217390060425,0.9243912696838379,0.9163026213645935,0.9243912696838379,0.6341083645820618,0.9873719811439514,0.9163026213645935,2.6592440655193714,22.450560444394505,48,223,544,7.736494939264041,22.60643436616123,104,4.333333333333333,58,15,16,2,1.585703159385272,82,11.562000000000001,15.211,14.672,2580.358507104,12.685999999999998,5.298,5.176,347.881175328,24,18,3,2,1,0
4EBV_ALLOSTERIC_0O7_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4EBV_ALLOSTERIC_0O7_config_0/predictions/4EBV_ALLOSTERIC_0O7_config_0/4EBV_ALLOSTERIC_0O7_config_0_model_17.pdb,4EBV_ALLOSTERIC_0O7_config_0_model_17,0.8895027041435242,0.9319756031036377,0.9890220165252686,0.9890220165252686,0.0,0.8646228909492493,0.8981715440750122,0.4416765868663788,0.38134416937828064,0.9289103150367737,0.9104770421981812,0.9289103150367737,0.6237015128135681,0.9890220165252686,0.9104770421981812,2.679417100788901,22.913693371858393,49,235,532,7.939867695772644,23.147100509355738,127,5.291666666666667,75,25,15,3,1.3204731332824287,77,13.829,13.525,14.746,2758.0509198500004,11.65,6.300999999999999,5.014,368.06094310000003,24,18,3,2,1,0
