pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
2AX9_ORTHOSTERIC_BHM_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_0.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_0,0.9617465138435364,0.9820378422737122,0.987772524356842,0.987772524356842,0.0,0.9552399516105652,0.9606501460075378,0.287422239780426,0.3524342477321625,0.9816774725914001,0.9748666286468506,0.9816774725914001,0.7689548134803772,0.987772524356842,0.9748666286468506,2.4234002971032256,19.85668679860757,69,280,627,8.284103454962018,18.540830438254687,148,7.0476190476190474,120,21,21,8,1.326434230972557,88,13.685,15.085,14.463,2985.716048175,6.34,6.449,9.375,383.3124375,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_1.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_1,0.9617228507995605,0.9802407026290894,0.9877740144729614,0.9877740144729614,0.0,0.9552100896835327,0.9639378786087036,0.2843593657016754,0.3475491404533386,0.9797801971435547,0.9696726202964783,0.9797801971435547,0.7432352900505066,0.9877740144729614,0.9696726202964783,2.347195347643652,19.685507302068935,68,273,643,7.970812493611305,18.50385544530159,163,7.761904761904762,131,24,21,5,1.0661082719636288,91,13.475999999999999,14.558,14.705,2884.87995564,4.51,9.348999999999998,3.9060000000000006,164.69254493999998,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_10.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_10,0.9570743441581726,0.9771341681480408,0.9843345880508423,0.9843345880508423,0.0,0.9502593278884888,0.9547476172447205,0.2969364821910858,0.3744865357875824,0.9766931533813477,0.965759813785553,0.9766931533813477,0.7124566435813904,0.9843345880508423,0.965759813785553,2.2931142579470385,19.77350639021577,59,264,620,7.992188623231966,18.61217577265441,135,6.428571428571429,107,21,18,6,1.109478501242343,89,13.876999999999999,15.002,14.589,3037.178198106,3.721,10.049,6.883,257.371400507,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_11.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_11,0.9570251703262329,0.9776608943939209,0.9862836003303528,0.9862836003303528,0.0,0.9497105479240417,0.9583935737609863,0.28779661655426025,0.35342833399772644,0.9771258234977722,0.9667838215827942,0.9771258234977722,0.7280362844467163,0.9862836003303528,0.9667838215827942,2.479004033881348,19.575716303463132,78,295,653,7.936097159104928,18.375475653352115,172,8.19047619047619,129,35,20,9,1.1220050334045915,92,13.98,14.928,14.15,2953.012176,8.307,7.626,5.753,364.44784404600006,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_12.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_12,0.9569520950317383,0.9717229008674622,0.9806315898895264,0.9806315898895264,0.0,0.9510321617126465,0.9601070284843445,0.31291210651397705,0.4165065288543701,0.9711547493934631,0.9559825658798218,0.9711547493934631,0.6608138084411621,0.9806315898895264,0.9559825658798218,2.4317374447090296,19.56947918049513,62,256,616,7.803928761690432,18.44149759372652,133,6.333333333333333,103,22,19,6,1.1517783772390704,91,14.253,14.168999999999999,13.784,2783.689234488,6.194000000000001,9.524000000000001,4.531,267.29119333600005,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_13.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_13,0.9568890929222107,0.9757174849510193,0.9825713038444519,0.9825713038444519,0.0,0.9504685401916504,0.9579517841339111,0.3070467412471771,0.400728702545166,0.9753011465072632,0.9591124653816223,0.9753011465072632,0.686116099357605,0.9825713038444519,0.9591124653816223,2.62525522568759,19.570884304637197,72,285,633,7.8949902533159095,18.4037589905617,156,7.428571428571429,123,27,19,7,1.2875554934858622,89,14.248999999999999,14.678,14.523,3037.4392959059996,8.174,5.723999999999999,7.954000000000001,372.151561104,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_14.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_14,0.9567320942878723,0.9739950299263,0.9811633229255676,0.9811633229255676,0.0,0.9506242275238037,0.9552866816520691,0.3069320619106293,0.40794944763183594,0.9735482335090637,0.9613240957260132,0.9735482335090637,0.6956655979156494,0.9811633229255676,0.9613240957260132,2.50734640606359,19.5642785890878,76,282,645,7.776770181220522,18.498534482286686,151,7.190476190476191,113,29,20,8,1.272269068608535,88,15.292,14.003,14.307,3063.613363932,8.933,4.079,6.639,241.90993677299997,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_15.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_15,0.9561975598335266,0.9724534153938293,0.9785248041152954,0.9785248041152954,0.0,0.9506157040596008,0.957218587398529,0.3248564600944519,0.4389786124229431,0.9721308946609497,0.9502004384994507,0.9721308946609497,0.6334861516952515,0.9785248041152954,0.9502004384994507,2.481521509074623,19.64356006981803,73,274,623,7.774459321904792,18.56902794835795,149,7.095238095238095,116,27,19,8,1.2854269146198467,91,14.065999999999999,14.026,14.887,2937.052002092,7.005,8.295,5.191000000000001,301.630711725,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_16.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_16,0.9559529423713684,0.9691212773323059,0.9795241951942444,0.9795241951942444,0.0,0.9500601291656494,0.9528403878211975,0.3231760263442993,0.42204293608665466,0.9684577584266663,0.9417375922203064,0.9684577584266663,0.602552056312561,0.9795241951942444,0.9417375922203064,2.567054732568046,19.625567473148987,74,271,624,7.955273299822805,18.44957263726517,147,7.0,121,19,17,3,1.313480696349416,87,13.892,13.904,14.687999999999999,2837.0513571839997,3.771000000000001,5.4590000000000005,9.418,193.87790260200003,21,11,2,4,0,4
2AX9_ORTHOSTERIC_BHM_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2AX9_ORTHOSTERIC_BHM_config_0/predictions/2AX9_ORTHOSTERIC_BHM_config_0/2AX9_ORTHOSTERIC_BHM_config_0_model_17.pdb,2AX9_ORTHOSTERIC_BHM_config_0_model_17,0.9557257890701294,0.9704374074935913,0.9826763868331909,0.9826763868331909,0.0,0.9489880800247192,0.9565250873565674,0.31073254346847534,0.3854505121707916,0.9696239233016968,0.9631560444831848,0.9696239233016968,0.7021518349647522,0.9826763868331909,0.9631560444831848,2.7404745939344157,19.609348226789574,75,262,633,7.815537109128111,18.486771851777952,142,6.761904761904762,114,19,20,7,1.092997885715423,90,14.696000000000002,14.412,14.278,3024.0625810560005,8.296,3.787,8.261,259.53544047199995,21,11,2,4,0,4
