pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3KF7_ORTHOSTERIC_L9G_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_0.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_0,0.9620062708854675,0.9775529503822327,0.9917495846748352,0.9917495846748352,0.0,0.954570472240448,0.9507566690444946,0.31643131375312805,0.3976125419139862,0.9768495559692383,0.8897201418876648,0.9768495559692383,0.6617275476455688,0.9917495846748352,0.8897201418876648,2.3596137395768824,23.621570150708262,95,378,815,8.754725501051283,23.19898902908379,222,7.655172413793103,111,55,22,3,1.1626626965402294,92,15.022,13.945,14.732000000000001,3086.0857302800005,7.586,6.181,13.163999999999998,617.2476648239999,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_1.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_1,0.9617251753807068,0.9766647815704346,0.9911436438560486,0.9911436438560486,0.0,0.9543704986572266,0.951116144657135,0.31445106863975525,0.39465317130088806,0.9760099649429321,0.8885185122489929,0.9760099649429321,0.646450400352478,0.9911436438560486,0.8885185122489929,2.7050436225687746,23.78229572042952,85,344,743,8.791677561662272,23.3611194396247,193,6.655172413793103,106,40,21,3,1.3320753610791236,88,14.842,14.544,14.729000000000001,3179.4321049920004,12.548,6.553,6.429,528.637665876,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_10.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_10,0.9594900012016296,0.9727128744125366,0.990166187286377,0.990166187286377,0.0,0.951820969581604,0.9439998269081116,0.3274586796760559,0.41916507482528687,0.9718891382217407,0.8998531699180603,0.9718891382217407,0.6330709457397461,0.990166187286377,0.8998531699180603,2.7188499406918365,23.65848974842121,101,371,773,8.812260441556095,23.183832847480993,212,7.310344827586207,112,45,22,3,1.2200043749323266,91,15.024,13.106,14.136000000000001,2783.442633984,12.134,7.875000000000001,6.820000000000001,651.6868050000002,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_11.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_11,0.9594765901565552,0.9752064943313599,0.9903871417045593,0.9903871417045593,0.0,0.9517489075660706,0.944898784160614,0.32332319021224976,0.4101566672325134,0.9744676351547241,0.8803439140319824,0.9744676351547241,0.6409606337547302,0.9903871417045593,0.8803439140319824,2.74890050747567,23.670872957988415,100,370,785,8.831222908556672,23.182204133720518,210,7.241379310344827,111,43,22,3,1.1320820892462697,88,15.166,14.57,14.784,3266.8000780800003,12.206,8.233,7.1530000000000005,718.8192616940001,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_12.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_12,0.9593802690505981,0.9734871983528137,0.9905287027359009,0.9905287027359009,0.0,0.9515931606292725,0.9442018866539001,0.3267522156238556,0.4210798740386963,0.9726500511169434,0.8844985961914062,0.9726500511169434,0.6443089842796326,0.9905287027359009,0.8844985961914062,2.7713016797165917,23.536797198828605,88,377,792,8.717993916512153,23.078844455796943,203,7.0,108,41,22,3,1.3778570125092826,89,14.925,13.985,14.74,3076.6230825,13.096,4.767,7.019,438.18656800800005,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_13.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_13,0.9592958688735962,0.9696047902107239,0.9877098202705383,0.9877098202705383,0.0,0.9521923661231995,0.9408367276191711,0.3449760675430298,0.45297035574913025,0.9687556028366089,0.8746513724327087,0.9687556028366089,0.6111428737640381,0.9877098202705383,0.8746513724327087,2.593557595273335,23.596024506173656,100,375,800,8.814788000114643,23.045201962643898,214,7.379310344827586,115,43,21,3,1.321360628509824,90,14.004000000000001,14.653,15.312,3142.0317709440005,7.710999999999999,12.437000000000001,5.9639999999999995,571.957780548,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_14.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_14,0.9592073559761047,0.9706515073776245,0.9905424118041992,0.9905424118041992,0.0,0.9513735175132751,0.9503158330917358,0.3388925790786743,0.4299541711807251,0.9695768356323242,0.883179247379303,0.9695768356323242,0.6553961038589478,0.9905424118041992,0.883179247379303,2.4201020639634185,23.629509488737536,101,383,790,8.7722777666093,23.171481706771196,227,7.827586206896552,122,41,21,4,1.283832863547999,92,15.224,14.960999999999999,15.3,3484.8238392,5.021000000000001,13.586,7.103999999999999,484.60153382400006,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_15.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_15,0.9591733813285828,0.9726081490516663,0.9892424941062927,0.9892424941062927,0.0,0.9516561627388,0.9468028545379639,0.33315959572792053,0.4253459870815277,0.9718124270439148,0.8877401947975159,0.9718124270439148,0.6262249946594238,0.9892424941062927,0.8877401947975159,2.614637833429326,23.715783040512054,81,341,741,8.742738141486091,23.292547806471482,187,6.448275862068965,93,36,21,4,1.3213504761015167,83,14.511000000000001,14.469999999999999,14.569,3059.11368273,7.680000000000001,7.17,13.052,718.7162112,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_16.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_16,0.9588309526443481,0.9755653738975525,0.9909848570823669,0.9909848570823669,0.0,0.9507924318313599,0.9464860558509827,0.31744062900543213,0.40315377712249756,0.9748075604438782,0.8859304189682007,0.9748075604438782,0.6454995274543762,0.9909848570823669,0.8859304189682007,2.562156903860495,23.75702948162508,93,367,770,8.810496250851008,23.366053357376487,198,6.827586206896552,100,43,23,3,1.4969904623645414,84,13.983999999999998,15.279,15.192,3245.946054912,9.22,5.340999999999999,11.864999999999998,584.2802972999999,29,22,4,1,0,2
3KF7_ORTHOSTERIC_L9G_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3KF7_ORTHOSTERIC_L9G_config_0/predictions/3KF7_ORTHOSTERIC_L9G_config_0/3KF7_ORTHOSTERIC_L9G_config_0_model_17.pdb,3KF7_ORTHOSTERIC_L9G_config_0_model_17,0.9585612416267395,0.9720592498779297,0.9886454343795776,0.9886454343795776,0.0,0.9510402083396912,0.9455005526542664,0.33169516921043396,0.43302056193351746,0.9712764024734497,0.8849871158599854,0.9712764024734497,0.6098251342773438,0.9886454343795776,0.8849871158599854,2.5499656860436377,23.695361627088865,90,373,772,8.764475897480361,23.268234054159294,200,6.896551724137931,107,43,22,5,1.3340807719712762,87,15.053999999999998,14.649999999999999,13.29,2930.991218999999,11.738999999999999,10.082999999999998,6.023,712.9084017509998,29,22,4,1,0,2
