pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3NEW_ALLOSTERIC_3NE_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_0.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_0,0.9093894958496094,0.9747328758239746,0.9568988680839539,0.9568988680839539,0.0,0.8975121378898621,0.8136796355247498,0.4075455963611603,1.1956003904342651,0.97662353515625,0.963359534740448,0.97662353515625,0.6566777229309082,0.9568988680839539,0.963359534740448,2.62105322341993,29.75618933796815,93,301,618,12.537193048832586,29.914832549998074,192,8.0,158,19,15,5,0.6446214030373582,79,13.905,14.821,14.404000000000002,2968.4628160200004,6.718,8.533999999999999,3.0470000000000006,174.688812364,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_1.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_1,0.9080719351768494,0.9653171896934509,0.9443374872207642,0.9443374872207642,0.0,0.8990055322647095,0.8000004291534424,0.43179869651794434,1.3568795919418335,0.9676195383071899,0.9310836791992188,0.9676195383071899,0.5403716564178467,0.9443374872207642,0.9310836791992188,2.514536338969869,29.146087127396573,93,338,704,12.693458115257078,28.631564635386667,198,8.25,115,16,17,5,0.8768393601575151,87,13.948,14.693000000000001,13.712,2810.1093623680003,6.285,3.1389999999999993,10.908,215.19973241999998,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_10.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_10,0.9019922614097595,0.9658375382423401,0.9376067519187927,0.9376067519187927,0.0,0.8930885791778564,0.7570989727973938,0.4440259039402008,1.4355895519256592,0.9687421917915344,0.9469735622406006,0.9687421917915344,0.5868667364120483,0.9376067519187927,0.9469735622406006,2.8345943272362626,29.64858927994655,85,331,693,12.629556363126433,29.855757250172207,193,8.041666666666666,152,17,15,7,0.44797908288126104,87,14.369,14.053,14.751,2978.633393307,5.7059999999999995,7.697,7.241,318.018072762,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_11.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_11,0.9013959765434265,0.9660483598709106,0.9539587497711182,0.9539587497711182,0.0,0.8882552981376648,0.794102668762207,0.4199160635471344,1.2281652688980103,0.9675930142402649,0.9359980821609497,0.9675930142402649,0.5637750029563904,0.9539587497711182,0.9359980821609497,2.112898009843352,29.31254949048344,86,339,721,12.642067336651795,28.882162261587894,194,8.083333333333334,110,24,16,4,0.7545959446586095,87,13.841999999999999,14.677,14.221,2889.1246225139994,11.056999999999999,5.94,3.6439999999999984,239.3327455199999,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_12.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_12,0.8997359275817871,0.9729177355766296,0.9336220026016235,0.9336220026016235,0.0,0.8912644386291504,0.7679100632667542,0.46002650260925293,1.700574517250061,0.976269006729126,0.9385585188865662,0.976269006729126,0.5620124936103821,0.9336220026016235,0.9385585188865662,2.3366903945538007,29.500234753451682,78,296,640,12.696674664095745,28.930648937426355,161,6.708333333333333,89,16,15,5,0.4718919605958339,89,14.337999999999997,14.790999999999999,14.549,3085.455285541999,7.006,4.093,10.82,310.26953756000006,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_13.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_13,0.8988356590270996,0.9710569977760315,0.9018203020095825,0.9018203020095825,0.0,0.8980894684791565,0.7867777943611145,0.5511853694915771,2.4860198497772217,0.9762289524078369,0.9524745941162109,0.9762289524078369,0.4991953670978546,0.9018203020095825,0.9524745941162109,2.570930959788693,29.65242072106365,74,290,650,12.696130802319457,29.403665375228876,167,6.958333333333333,133,2,14,2,0.2729295888705958,87,13.585,14.936,14.911999999999999,3025.72771072,9.229,4.9609999999999985,6.509,298.0150141209999,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_14.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_14,0.8979647755622864,0.9647340178489685,0.9272295236587524,0.9272295236587524,0.0,0.890648603439331,0.7664439678192139,0.4608106017112732,1.614139437675476,0.9683899879455566,0.9335536956787109,0.9683899879455566,0.5334346890449524,0.9272295236587524,0.9335536956787109,2.961844189014676,29.95842459685551,75,288,621,12.616986349569798,30.127923864748198,165,6.875,137,12,14,3,0.5609729647272439,79,14.984000000000002,13.12,14.324,2815.95630592,4.3969999999999985,9.199,6.692000000000002,270.67803607599996,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_15.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_15,0.8949791193008423,0.9680747985839844,0.9064728617668152,0.9064728617668152,0.0,0.8921056389808655,0.7469730973243713,0.5534154176712036,2.4859743118286133,0.9731805324554443,0.9527853727340698,0.9731805324554443,0.5313816070556641,0.9064728617668152,0.9527853727340698,1.9540401735890685,28.936918642859478,97,338,714,12.163015123462307,28.50263305379928,188,7.833333333333333,120,16,15,5,0.5364720799677605,88,14.102,14.363,13.579,2750.386066054,9.577,5.529999999999999,7.193,380.94710632999994,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_16.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_16,0.8927150964736938,0.9543671607971191,0.9370462894439697,0.9370462894439697,0.0,0.8816323280334473,0.7341092228889465,0.48754677176475525,1.5047792196273804,0.9565252065658569,0.9522736072540283,0.9565252065658569,0.5501500368118286,0.9370462894439697,0.9522736072540283,2.6263109107643756,28.8917543811592,66,313,701,12.333782755346206,28.490060355761067,172,7.166666666666667,88,15,17,7,0.6177495431957004,94,14.698,13.613,14.440999999999999,2889.411224434,5.208,10.552000000000001,5.617000000000001,308.6812014720001,24,14,3,1,0,6
3NEW_ALLOSTERIC_3NE_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3NEW_ALLOSTERIC_3NE_config_0/predictions/3NEW_ALLOSTERIC_3NE_config_0/3NEW_ALLOSTERIC_3NE_config_0_model_17.pdb,3NEW_ALLOSTERIC_3NE_config_0_model_17,0.8878499865531921,0.9636845588684082,0.8744516372680664,0.8744516372680664,0.0,0.8911996483802795,0.7263584733009338,0.6075810194015503,2.9156501293182373,0.970537543296814,0.9341845512390137,0.970537543296814,0.47526484727859497,0.8744516372680664,0.9341845512390137,2.4741281292608934,30.58333141070053,100,327,688,13.069379418664566,30.77751714317032,198,8.25,166,17,16,6,0.3094954342267774,87,14.979999999999999,13.286999999999999,14.520999999999999,2890.249094459999,7.763999999999999,6.109999999999999,6.926000000000002,328.55586504000007,24,14,3,1,0,6
