pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3ZCW_ORTHOSTERIC_ADP_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_0.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_0,0.8891903758049011,0.9608243703842163,0.9822138547897339,0.9822138547897339,0.0,0.8659345507621765,0.8807868361473083,0.3641035854816437,0.497188001871109,0.9598410725593567,0.9302302598953247,0.9598410725593567,0.7131267189979553,0.9822138547897339,0.9302302598953247,2.0017115176768097,23.559311796215944,91,289,591,8.339110353412124,23.26609178611655,171,6.333333333333333,58,29,12,13,2.2481258455965936,61,14.841,13.973,13.195,2736.290601135,10.149000000000001,7.579,7.5809999999999995,583.124993451,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_1.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_1,0.8889595866203308,0.9692649841308594,0.9861277341842651,0.9861277341842651,0.0,0.864667534828186,0.8801659345626831,0.3307808041572571,0.4270102083683014,0.9684622883796692,0.9450044631958008,0.9684622883796692,0.7541165351867676,0.9861277341842651,0.9450044631958008,2.456336499749169,23.395854278859428,84,287,584,8.232765110472776,22.96336658680517,170,6.296296296296297,56,31,12,11,2.32334708221735,60,10.969,15.143,13.511,2244.225293737,8.851,5.993,9.411999999999999,499.250532716,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_10.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_10,0.8832890391349792,0.9550953507423401,0.9832435250282288,0.9832435250282288,0.0,0.8583004474639893,0.8742688894271851,0.37252241373062134,0.48686879873275757,0.9544063806533813,0.9304659366607666,0.9544063806533813,0.6993697881698608,0.9832435250282288,0.9304659366607666,1.9134944473397362,23.653204803810986,92,296,606,8.505860067577471,23.180462139482895,190,7.037037037037037,67,34,13,11,2.1646593879171965,63,11.408000000000001,12.609,15.077,2168.728027344,7.744999999999999,9.799,8.062,611.8514218099998,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_11.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_11,0.8825820088386536,0.9630452990531921,0.9868763089179993,0.9868763089179993,0.0,0.8565084338188171,0.8836824893951416,0.3473944067955017,0.4275486171245575,0.9623367190361023,0.9423773288726807,0.9623367190361023,0.7476880550384521,0.9868763089179993,0.9423773288726807,2.342066181814681,23.52427748450823,97,297,597,8.329211972824703,23.1512735286852,180,6.666666666666667,59,31,12,12,2.534897439778049,62,12.273,13.421000000000001,14.869,2449.161207777,10.532,7.598000000000001,6.317,505.49983311200003,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_12.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_12,0.8812114596366882,0.9630932807922363,0.9850991368293762,0.9850991368293762,0.0,0.8552395701408386,0.8758406043052673,0.35131940245628357,0.4553338885307312,0.9620382189750671,0.9396644830703735,0.9620382189750671,0.7212901711463928,0.9850991368293762,0.9396644830703735,2.212289764022787,23.465287247212007,83,289,582,8.29372376246536,23.129435985341274,170,6.296296296296297,47,34,13,13,2.3169637890268118,64,13.868,11.040000000000001,14.790999999999999,2264.54233152,9.812,9.027999999999999,6.720999999999999,595.3645686559998,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_13.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_13,0.880506694316864,0.9493993520736694,0.9797725677490234,0.9797725677490234,0.0,0.8556902408599854,0.8755108118057251,0.40306422114372253,0.537808358669281,0.9477939009666443,0.9171576499938965,0.9477939009666443,0.6895366311073303,0.9797725677490234,0.9171576499938965,2.119774988058874,23.427877382005875,94,285,587,8.443522555596967,22.96432844652767,170,6.296296296296297,50,30,13,13,2.633311245937768,62,13.41,12.399000000000001,14.323,2381.4936605700004,3.76,7.670999999999999,11.575000000000001,333.857262,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_14.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_14,0.8797001838684082,0.9565589427947998,0.98526531457901,0.98526531457901,0.0,0.853308916091919,0.8814776539802551,0.3798653483390808,0.458819717168808,0.9549508094787598,0.9433152675628662,0.9549508094787598,0.727435290813446,0.98526531457901,0.9433152675628662,2.2221111583356943,23.421836625354224,104,299,586,8.33480297774441,23.002992392295397,176,6.518518518518518,58,32,12,12,2.58176641476995,64,14.237,14.024,15.420000000000002,3078.75238896,7.228000000000001,7.808999999999999,10.215,576.56986218,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_15.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_15,0.8796230554580688,0.9420442581176758,0.9783363342285156,0.9783363342285156,0.0,0.8549447655677795,0.8687812089920044,0.4203677177429199,0.5485931038856506,0.9409507513046265,0.9120818972587585,0.9409507513046265,0.6584777235984802,0.9783363342285156,0.9120818972587585,2.446152489114282,23.648617349602798,82,273,583,8.397538014094513,23.220508952217216,151,5.592592592592593,38,31,12,13,2.509886061433112,63,12.867,14.011,14.629999999999999,2637.48962631,8.237,11.068000000000001,5.3469999999999995,487.470569252,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_16.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_16,0.8786829113960266,0.9450724124908447,0.9810271859169006,0.9810271859169006,0.0,0.8530968427658081,0.8760629892349243,0.40857794880867004,0.5217183828353882,0.9439820647239685,0.9239686727523804,0.9439820647239685,0.6607005000114441,0.9810271859169006,0.9239686727523804,2.2165450593209246,23.511925166208425,95,299,594,8.41642054342971,23.083902096482735,180,6.666666666666667,58,34,12,15,2.495999506254286,65,15.062,12.731,13.667000000000002,2620.7063187740005,7.271000000000001,8.459999999999999,8.92,548.6929272,27,10,5,10,0,2
3ZCW_ORTHOSTERIC_ADP_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3ZCW_ORTHOSTERIC_ADP_config_0/predictions/3ZCW_ORTHOSTERIC_ADP_config_0/3ZCW_ORTHOSTERIC_ADP_config_0_model_17.pdb,3ZCW_ORTHOSTERIC_ADP_config_0_model_17,0.8784841895103455,0.9622849822044373,0.983822226524353,0.983822226524353,0.0,0.8521496653556824,0.8800387978553772,0.3587457239627838,0.4619511663913727,0.9611551761627197,0.9384214282035828,0.9611551761627197,0.6829699277877808,0.983822226524353,0.9384214282035828,2.407163060534121,23.67958663317006,93,299,604,8.450841882237219,23.375074096139247,185,6.851851851851852,62,35,13,13,2.340742680344195,66,14.424,13.844,12.943999999999999,2584.7337200639995,5.697,6.7490000000000006,11.135,428.13020515500006,27,10,5,10,0,2
