pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
5MO4_ALLOSTERIC_AY7_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_0.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_0,0.9291878938674927,0.9678609371185303,0.9684446454048157,0.9684446454048157,0.0,0.9193736910820007,0.9357597827911377,0.36431771516799927,0.6517850756645203,0.968319296836853,0.960960328578949,0.968319296836853,0.6698948740959167,0.9684446454048157,0.960960328578949,2.826223451887695,29.98457038594499,67,310,742,11.41909221652134,30.37843565755156,154,4.967741935483871,88,29,18,2,0.8866040034789011,81,14.794,14.527000000000001,15.426,3315.239268588,6.7170000000000005,6.754,14.894999999999998,675.73577511,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_1.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_1,0.9250800013542175,0.9596646428108215,0.9707738161087036,0.9707738161087036,0.0,0.9136565327644348,0.9315577745437622,0.3828825354576111,0.6483314037322998,0.9595438241958618,0.9623145461082458,0.9595438241958618,0.6483713984489441,0.9707738161087036,0.9623145461082458,3.051303983545396,30.284913301120667,60,305,728,11.504220235851314,30.73628246876971,160,5.161290322580645,89,32,20,1,0.9103666289424462,78,13.985999999999999,14.727999999999998,14.869,3062.8029791519994,14.834999999999999,7.322,6.987,758.94100569,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_10.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_10,0.9185366034507751,0.9602964520454407,0.9747424721717834,0.9747424721717834,0.0,0.9044850468635559,0.9289640188217163,0.37973180413246155,0.6077084541320801,0.9598393440246582,0.9681413173675537,0.9598393440246582,0.6950567364692688,0.9747424721717834,0.9681413173675537,2.7280894413490175,29.924994600740586,70,317,764,11.35116128126053,30.417871210852347,164,5.290322580645161,96,38,19,2,0.7173382004751034,79,12.542,14.935,13.675,2561.52947975,8.987,14.336,3.6240000000000006,466.90757836800015,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_11.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_11,0.9180930256843567,0.9551687240600586,0.9577553868293762,0.9577553868293762,0.0,0.908177375793457,0.9219095706939697,0.41051769256591797,0.7823688387870789,0.9555762410163879,0.9526990652084351,0.9555762410163879,0.6145901083946228,0.9577553868293762,0.9526990652084351,3.0428752849895107,30.34362969079611,51,313,729,11.54536237274529,30.835844548187747,163,5.258064516129032,92,32,20,2,0.8624831580231512,77,13.812000000000001,13.600999999999999,13.023,2446.461867276,10.796,3.308,14.524999999999999,518.7337651999999,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_12.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_12,0.9180540442466736,0.9532594084739685,0.9714427590370178,0.9714427590370178,0.0,0.9047068357467651,0.9305211901664734,0.41403713822364807,0.6474106311798096,0.9525266885757446,0.9568297863006592,0.9525266885757446,0.6288498044013977,0.9714427590370178,0.9568297863006592,2.9626059474725968,30.222624981567314,66,313,751,11.557842544557381,30.583758647360533,178,5.741935483870968,99,40,20,0,1.0278857244656043,80,14.551,13.389000000000001,15.126999999999999,2947.092649053,13.297999999999998,9.602999999999998,8.197,1046.7625887179995,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_13.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_13,0.9162659049034119,0.9488632678985596,0.9689594507217407,0.9689594507217407,0.0,0.9030924439430237,0.9298621416091919,0.43689560890197754,0.6840226054191589,0.9480482339859009,0.963598370552063,0.9480482339859009,0.6602516770362854,0.9689594507217407,0.963598370552063,2.17106563696264,30.305474947238395,68,319,724,11.584742963067969,30.70187779273444,166,5.354838709677419,103,24,18,3,0.8410457886731201,79,14.653000000000002,14.644,14.552999999999999,3122.761376196,7.852,11.355000000000002,11.658,1039.4209846800002,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_14.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_14,0.9160652160644531,0.9316437840461731,0.9634757041931152,0.9634757041931152,0.0,0.9042125344276428,0.9217602610588074,0.49022164940834045,0.7452507019042969,0.9301378130912781,0.9594094157218933,0.9301378130912781,0.6371714472770691,0.9634757041931152,0.9594094157218933,2.6837736491738644,30.140485205403365,70,315,732,11.32820704748164,30.743967050463734,165,5.32258064516129,102,25,20,4,0.8560163993619112,80,14.399999999999999,14.652,14.468,3052.5859583999995,11.274999999999999,4.4510000000000005,12.605,632.582240125,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_15.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_15,0.9159464240074158,0.9534792304039001,0.9669917225837708,0.9669917225837708,0.0,0.9031850099563599,0.9219410419464111,0.4265795648097992,0.7019953727722168,0.953050971031189,0.9615623354911804,0.953050971031189,0.6503258943557739,0.9669917225837708,0.9615623354911804,2.665625067409144,30.255158522004646,48,271,686,11.46361822944846,30.757059986286077,140,4.516129032258065,94,15,20,3,1.0862487434468242,75,14.818,12.600999999999999,14.237,2658.355675466,5.135,10.642,12.89,704.3955762999999,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_16.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_16,0.915212094783783,0.9599317312240601,0.9703688621520996,0.9703688621520996,0.0,0.901422917842865,0.9247642159461975,0.3937739133834839,0.6576870679855347,0.9596673846244812,0.9665147662162781,0.9596673846244812,0.6871859431266785,0.9703688621520996,0.9665147662162781,2.9246305749615624,30.07745171317071,53,277,714,11.45976975592338,30.389242603263412,143,4.612903225806452,95,27,19,1,0.9820830297762485,77,13.087,13.112,13.4,2299.3963696,14.449000000000002,7.931000000000001,8.527999999999999,977.2663220320001,31,20,5,3,0,3
5MO4_ALLOSTERIC_AY7_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_5MO4_ALLOSTERIC_AY7_config_0/predictions/5MO4_ALLOSTERIC_AY7_config_0/5MO4_ALLOSTERIC_AY7_config_0_model_17.pdb,5MO4_ALLOSTERIC_AY7_config_0_model_17,0.9151658415794373,0.9445566534996033,0.956142008304596,0.956142008304596,0.0,0.9049217700958252,0.9247540831565857,0.452764630317688,0.8167439103126526,0.9443540573120117,0.9489859938621521,0.9443540573120117,0.5982333421707153,0.956142008304596,0.9489859938621521,3.0980041962528064,30.017901623159272,52,287,738,11.42135815682618,30.488092593666796,146,4.709677419354839,101,24,21,1,0.9295599104043105,79,14.899,13.040000000000001,15.033000000000001,2920.65573768,5.265000000000001,12.514,11.185999999999998,737.00314506,31,20,5,3,0,3
