pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3PYY_ALLOSTERIC_3YY_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_0.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_0,0.9217641949653625,0.9705373048782349,0.9804009795188904,0.9804009795188904,0.0,0.9071049690246582,0.9186112284660339,0.34855636954307556,0.6011268496513367,0.970508873462677,0.9534841179847717,0.970508873462677,0.7552308440208435,0.9804009795188904,0.9534841179847717,2.518633955143145,21.998064013921883,62,263,654,8.150828803558815,21.788580575425627,137,5.48,78,33,18,5,0.8344941457029524,80,14.859000000000002,15.068999999999999,14.815999999999999,3317.454575136,8.767,10.33,3.4399999999999995,311.53709839999993,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_1.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_1,0.9161230325698853,0.9567623734474182,0.974284827709198,0.974284827709198,0.0,0.9015825390815735,0.9061875939369202,0.3671691119670868,0.6410450339317322,0.9564043879508972,0.9410635828971863,0.9564043879508972,0.7171289920806885,0.974284827709198,0.9410635828971863,2.473801528013112,21.910992098909382,65,285,674,8.131231736784875,21.51426515022267,151,6.04,83,51,17,3,0.542947219324829,84,14.631,14.325,14.5,3039.0415875,3.9250000000000007,9.559000000000001,9.668000000000001,362.73441710000014,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_10.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_10,0.9097291827201843,0.95656818151474,0.9720306396484375,0.9720306396484375,0.0,0.894153892993927,0.9022341966629028,0.3952658176422119,0.7132101655006409,0.9563556909561157,0.9370377063751221,0.9563556909561157,0.698340892791748,0.9720306396484375,0.9370377063751221,2.66737230247298,21.669560240718152,80,305,667,8.007957217872221,21.347453804814805,161,6.44,87,49,18,3,0.6885666789879539,80,14.572,15.396999999999998,15.088999999999999,3385.4447524759994,9.51,6.2940000000000005,7.878,471.54509532000003,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_11.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_11,0.9086833000183105,0.9377349019050598,0.969770610332489,0.969770610332489,0.0,0.8934114575386047,0.9027151465415955,0.43155553936958313,0.7678741216659546,0.9361181855201721,0.9391712546348572,0.9361181855201721,0.6782726645469666,0.969770610332489,0.9391712546348572,2.4348985605154057,21.928667952152107,76,294,671,8.218626313730864,21.604519619736678,163,6.52,90,54,17,3,0.94726847215436,82,14.702,14.884,14.477,3167.923270936,8.634,9.593,3.926,325.174726812,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_12.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_12,0.9074814915657043,0.9480635523796082,0.9771614670753479,0.9771614670753479,0.0,0.8900614976882935,0.9066682457923889,0.39726951718330383,0.6381047368049622,0.9465615749359131,0.9474396705627441,0.9465615749359131,0.7221862077713013,0.9771614670753479,0.9474396705627441,2.5034843718305893,21.64796395537199,68,267,663,8.06426863557498,21.318577625747785,161,6.44,86,51,20,3,0.8240816768918818,81,14.296,14.510000000000002,15.154,3143.4693838400003,5.2540000000000004,8.551,9.834999999999999,441.85659259,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_13.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_13,0.9069725871086121,0.9406756162643433,0.9669589400291443,0.9669589400291443,0.0,0.8919760584831238,0.8935626149177551,0.43767061829566956,0.7706876397132874,0.9396045804023743,0.9381174445152283,0.9396045804023743,0.6925565004348755,0.9669589400291443,0.9381174445152283,2.5818369429536023,21.487278557564277,71,276,666,7.848614652683881,21.291310175741398,149,5.96,78,49,19,3,0.8295130612745036,80,14.203999999999999,14.909999999999998,13.919,2947.7886471599995,6.789999999999999,9.183,9.084,566.4107458799999,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_14.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_14,0.9067404866218567,0.9286126494407654,0.9705317616462708,0.9705317616462708,0.0,0.8907926082611084,0.902127206325531,0.4392450153827667,0.7245548367500305,0.9272899031639099,0.9413244724273682,0.9272899031639099,0.6887674927711487,0.9705317616462708,0.9413244724273682,2.358790791910126,21.501025374896713,87,317,676,7.890030194238603,21.148966168566574,180,7.2,93,52,20,3,0.6996142240687004,81,14.402000000000001,14.091000000000001,14.594,2961.685665708,8.268,11.05,5.228,477.63739920000006,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_15.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_15,0.9047611355781555,0.9411758780479431,0.9538053274154663,0.9538053274154663,0.0,0.892500102519989,0.8860251903533936,0.46858856081962585,0.991648256778717,0.9414101243019104,0.930101752281189,0.9414101243019104,0.6424169540405273,0.9538053274154663,0.930101752281189,2.887585323414704,21.92125473468596,55,257,589,8.085724151580353,21.686320780389856,131,5.24,79,32,17,3,1.4762792634337334,75,14.004999999999999,14.491999999999999,14.136000000000001,2869.04906256,8.319,7.202,8.501,509.32413643800004,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_16.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_16,0.9046104550361633,0.9675784111022949,0.9748131632804871,0.9748131632804871,0.0,0.88705974817276,0.9011853933334351,0.36729273200035095,0.6587371230125427,0.9676269888877869,0.9480639100074768,0.9676269888877869,0.7380352020263672,0.9748131632804871,0.9480639100074768,2.5717289903875953,21.662824085589236,60,275,681,8.051865307997117,21.34612826552206,146,5.84,74,46,19,4,0.684136918823334,82,14.387,14.030999999999999,14.906,3008.9847392819997,8.703,9.539,5.33,442.48549761,25,18,4,2,0,1
3PYY_ALLOSTERIC_3YY_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3PYY_ALLOSTERIC_3YY_config_0/predictions/3PYY_ALLOSTERIC_3YY_config_0/3PYY_ALLOSTERIC_3YY_config_0_model_17.pdb,3PYY_ALLOSTERIC_3YY_config_0_model_17,0.9038130640983582,0.9470521211624146,0.9528827667236328,0.9528827667236328,0.0,0.8915456533432007,0.8935284614562988,0.44529232382774353,0.960012674331665,0.9480193257331848,0.9176422357559204,0.9480193257331848,0.6018835306167603,0.9528827667236328,0.9176422357559204,2.5674417228050173,22.003352344007315,67,300,641,8.095754410169752,21.827563343130016,165,6.6,88,49,17,3,0.8863314401271034,85,13.940999999999999,14.925999999999998,15.264999999999999,3176.392581989999,10.716000000000001,8.539,3.8019999999999996,347.897919048,25,18,4,2,0,1
