pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
4IZY_ORTHOSTERIC_1J2_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_0.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_0,0.9302879571914673,0.974358320236206,0.9912917613983154,0.9912917613983154,0.0,0.9150369167327881,0.9254559278488159,0.3175719976425171,0.38724401593208313,0.9738162755966187,0.9523735046386719,0.9738162755966187,0.7702115774154663,0.9912917613983154,0.9523735046386719,2.4304102534345926,24.03459720930754,88,348,763,8.470492066549346,23.896241011814595,185,5.606060606060606,106,34,23,5,0.667381437064712,70,13.86,15.050999999999998,14.216,2965.555121759999,8.488,5.065,14.48,622.5201056000001,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_1.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_1,0.927639901638031,0.9563184380531311,0.9853842854499817,0.9853842854499817,0.0,0.913203775882721,0.9126050472259521,0.3794061243534088,0.4795852601528168,0.9552218914031982,0.9499543309211731,0.9552218914031982,0.7688231468200684,0.9853842854499817,0.9499543309211731,3.0025324311320936,23.91780812200177,73,310,686,8.38879170406736,23.841591064773894,177,5.363636363636363,104,40,22,6,1.2220176344988758,61,12.447,14.258000000000001,14.690999999999999,2607.2018682659996,11.843,13.056999999999999,6.204000000000001,959.3496524039999,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_10.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_10,0.9240149855613708,0.9674647450447083,0.9907324910163879,0.9907324910163879,0.0,0.9073355793952942,0.92107754945755,0.33693212270736694,0.4085947275161743,0.9666165709495544,0.952022135257721,0.9666165709495544,0.764296293258667,0.9907324910163879,0.952022135257721,2.640851567203277,23.960017994667652,72,340,744,8.440496268083166,23.776039020404824,188,5.696969696969697,103,39,21,8,1.2057261785715778,64,14.964,14.974,11.377,2549.2550388720006,8.892000000000001,11.722999999999999,10.533000000000001,1097.969568228,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_11.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_11,0.9237260818481445,0.9718037247657776,0.9878020882606506,0.9878020882606506,0.0,0.9077070951461792,0.9114742875099182,0.33377593755722046,0.43618932366371155,0.9713977575302124,0.9397276043891907,0.9713977575302124,0.7730190753936768,0.9878020882606506,0.9397276043891907,2.6824423572557894,24.01090359164575,70,325,745,8.468968912045726,23.831842728964784,170,5.151515151515151,97,34,21,5,0.41451889764264943,70,13.381,14.068000000000001,14.633,2754.5731057640005,9.192,12.643999999999998,9.891,1149.568102368,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_12.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_12,0.9233635067939758,0.964686930179596,0.9856181144714355,0.9856181144714355,0.0,0.9077998399734497,0.9175309538841248,0.36032408475875854,0.4770752191543579,0.9640113115310669,0.941951334476471,0.9640113115310669,0.7401025295257568,0.9856181144714355,0.941951334476471,2.9474317634170935,23.98987344690375,83,338,729,8.427369306363987,23.804526898348197,189,5.7272727272727275,112,40,23,4,0.7249757212341004,67,13.747,12.678999999999998,15.043,2621.9680181589997,12.434000000000001,12.786000000000001,2.95,468.9943158000001,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_13.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_13,0.9231935739517212,0.9681476950645447,0.9884462356567383,0.9884462356567383,0.0,0.9068803787231445,0.9163598418235779,0.339629590511322,0.4226440489292145,0.9673951268196106,0.9466920495033264,0.9673951268196106,0.7586556673049927,0.9884462356567383,0.9466920495033264,2.6068981568139553,23.7756549890068,86,336,730,8.393975848157876,23.54927787592371,191,5.787878787878788,115,40,21,7,0.9071250076510974,70,14.37,14.098999999999998,13.756,2787.0017782799996,12.832,10.633,7.561999999999999,1031.779364672,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_14.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_14,0.9231439828872681,0.952031672000885,0.9830501675605774,0.9830501675605774,0.0,0.9081674218177795,0.9182640910148621,0.3921487033367157,0.49576079845428467,0.9508052468299866,0.9376586079597473,0.9508052468299866,0.7242147922515869,0.9830501675605774,0.9376586079597473,2.755351338758816,24.066061251606936,91,361,760,8.515002867003858,23.918324344696728,204,6.181818181818182,118,46,23,8,0.8277295352211891,71,14.993999999999998,14.397,13.479000000000001,2909.693102022,8.195,12.231,11.939,1196.6823242550001,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_15.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_15,0.9229941368103027,0.9710726737976074,0.9871702790260315,0.9871702790260315,0.0,0.906950056552887,0.911745011806488,0.33643534779548645,0.43857431411743164,0.9705692529678345,0.9502185583114624,0.9705692529678345,0.7732571363449097,0.9871702790260315,0.9502185583114624,2.917931287744795,24.110597876561727,75,323,703,8.472668312790201,23.940957363892338,171,5.181818181818182,103,36,21,5,1.2918373425303482,61,14.418,14.837,13.059000000000001,2793.579530094,11.165,11.881,7.786,1032.82352789,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_16.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_16,0.9229065775871277,0.9731486439704895,0.98867267370224,0.98867267370224,0.0,0.9064651131629944,0.9177247881889343,0.3313277065753937,0.4325891435146332,0.972741425037384,0.9547858834266663,0.972741425037384,0.7819947600364685,0.98867267370224,0.9547858834266663,2.7108908129985614,24.09091064047235,82,343,724,8.451370314604842,23.921350397569427,185,5.606060606060606,106,37,23,5,1.3312879445948786,67,14.153999999999998,13.873000000000001,14.807,2907.479450694,10.961,8.169,11.142999999999999,997.748777487,33,24,5,3,1,0
4IZY_ORTHOSTERIC_1J2_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_4IZY_ORTHOSTERIC_1J2_config_0/predictions/4IZY_ORTHOSTERIC_1J2_config_0/4IZY_ORTHOSTERIC_1J2_config_0_model_17.pdb,4IZY_ORTHOSTERIC_1J2_config_0_model_17,0.9228348731994629,0.9469064474105835,0.9814914464950562,0.9814914464950562,0.0,0.908170759677887,0.8984135389328003,0.4081532061100006,0.5378423929214478,0.9456900954246521,0.9402384161949158,0.9456900954246521,0.7438520193099976,0.9814914464950562,0.9402384161949158,2.7541933483326844,24.069687868604614,70,315,713,8.642989788813871,23.8651069530898,174,5.2727272727272725,94,43,22,5,1.165222643378061,60,15.515999999999998,11.761000000000001,12.863,2347.287524388,3.579999999999999,8.495,14.196,431.7301715999999,33,24,5,3,1,0
