pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
1V4S_ALLOSTERIC_MRK_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_0.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_0,0.9642896056175232,0.9604641199111938,0.9887107610702515,0.9887107610702515,0.0,0.9581842422485352,0.9489240050315857,0.33487266302108765,0.5042049884796143,0.9592669010162354,0.97897869348526,0.9592669010162354,0.7619422078132629,0.9887107610702515,0.97897869348526,2.5688010822171496,27.93764085382569,72,265,652,12.197452145449226,26.623983379652266,141,6.130434782608695,54,57,16,4,0.3201060431894887,76,13.153000000000002,14.219999999999999,14.576,2726.23178016,9.604,6.274,9.126999999999999,549.9519119919999,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_1.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_1,0.9634548425674438,0.9446077942848206,0.9873430728912354,0.9873430728912354,0.0,0.9574827551841736,0.9510402083396912,0.3655596077442169,0.5453314185142517,0.9426321387290955,0.9783047437667847,0.9426321387290955,0.7468695640563965,0.9873430728912354,0.9783047437667847,3.03239740139712,27.681563581176587,51,254,679,12.09521848324985,26.363610735254003,137,5.956521739130435,68,47,17,4,0.29469014713039016,83,13.671,14.266000000000002,13.407000000000002,2614.7737258020006,7.725,8.964,7.307,505.9870983,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_10.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_10,0.9617466330528259,0.9438400864601135,0.9861646890640259,0.9861646890640259,0.0,0.95564204454422,0.9492170214653015,0.370921790599823,0.5534359812736511,0.9419032335281372,0.9793273210525513,0.9419032335281372,0.7565836906433105,0.9861646890640259,0.9793273210525513,3.0107894313618155,27.7786893824773,65,282,672,12.17240623268364,26.472123148701165,167,7.260869565217392,95,51,19,4,0.1962377767309939,82,14.261999999999999,13.934000000000001,13.793,2741.037483444,5.215,4.244,12.477,276.14670342,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_11.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_11,0.9617377519607544,0.9481281638145447,0.9851123094558716,0.9851123094558716,0.0,0.9558941125869751,0.9473714828491211,0.3644949197769165,0.5827999711036682,0.9466809034347534,0.9719620943069458,0.9466809034347534,0.7330611944198608,0.9851123094558716,0.9719620943069458,2.8487957104713577,27.83756104082594,73,284,665,12.21213661989434,26.49554003978783,156,6.782608695652174,83,52,18,4,0.43800051054836003,79,14.844000000000001,14.46,14.973,3213.8682055200006,7.7669999999999995,6.3199999999999985,9.329999999999998,457.9858151999998,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_12.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_12,0.9617297053337097,0.9494189023971558,0.9861089587211609,0.9861089587211609,0.0,0.9556349515914917,0.9459033012390137,0.3607071340084076,0.5791824460029602,0.9477484226226807,0.9760369658470154,0.9477484226226807,0.7358214855194092,0.9861089587211609,0.9760369658470154,3.0452234729162324,27.981681495391314,56,256,607,12.227699977044795,26.656546437976544,139,6.043478260869565,72,47,18,3,0.4515915069775435,79,13.758000000000001,14.893,14.232,2916.1068274080003,11.994,6.3260000000000005,5.283999999999999,400.9184484959999,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_13.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_13,0.9615456461906433,0.9457938075065613,0.9861761331558228,0.9861761331558228,0.0,0.955388069152832,0.9464273452758789,0.36217281222343445,0.5568426251411438,0.9439488053321838,0.9794163703918457,0.9439488053321838,0.7543078064918518,0.9861761331558228,0.9794163703918457,2.8983486677761876,27.642569464592196,77,293,683,12.101925939730934,26.32155014432091,171,7.434782608695652,93,53,18,3,0.5006584795976566,82,14.359000000000002,15.117,13.026,2827.4887290780007,3.276,6.356,11.914000000000001,248.07635798400003,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_14.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_14,0.961474597454071,0.9622006416320801,0.9896350502967834,0.9896350502967834,0.0,0.9544345140457153,0.9423277974128723,0.32781827449798584,0.4847450852394104,0.9611303210258484,0.9836376905441284,0.9611303210258484,0.789208710193634,0.9896350502967834,0.9836376905441284,3.0456667578709276,27.849988285335264,67,278,646,12.14207094408156,26.56471925317487,150,6.521739130434782,81,48,17,3,0.10746086109053204,78,14.841,14.669999999999998,14.565999999999999,3171.2726680199994,5.783999999999999,10.546,6.912000000000001,421.61861836799994,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_15.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_15,0.9613140225410461,0.9590332508087158,0.9909412860870361,0.9909412860870361,0.0,0.9539071917533875,0.9458907246589661,0.3316264748573303,0.46036964654922485,0.9575878381729126,0.985099196434021,0.9575878381729126,0.7963486313819885,0.9909412860870361,0.985099196434021,2.807524354302204,27.74907964400267,86,296,699,12.161724572035027,26.421258921557847,173,7.521739130434782,92,59,17,4,0.28620040717494527,82,13.431000000000001,14.614,15.355999999999998,3014.085415704,10.144,9.013,5.635,515.19605872,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_16.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_16,0.9612318277359009,0.9457923769950867,0.9855642914772034,0.9855642914772034,0.0,0.9551486372947693,0.9478186368942261,0.36211061477661133,0.5758511424064636,0.9440223574638367,0.9780232906341553,0.9440223574638367,0.7442948818206787,0.9855642914772034,0.9780232906341553,2.935942097521681,27.997693462108458,62,258,614,12.283938402474568,26.650800400738436,160,6.956521739130435,78,60,17,4,0.7916236126547811,72,13.405000000000001,14.454,14.332999999999998,2777.10288471,8.617999999999999,4.556000000000001,9.324,366.09388099200004,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_17.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_17,0.9609617590904236,0.9442590475082397,0.9811714291572571,0.9811714291572571,0.0,0.9559093117713928,0.9424418210983276,0.378464937210083,0.6361955404281616,0.94350665807724,0.9753356575965881,0.94350665807724,0.7405622601509094,0.9811714291572571,0.9753356575965881,2.878889542861969,28.005209598978503,62,268,628,12.294350874046572,26.63747833410663,141,6.130434782608695,68,52,18,2,0.4763102068914963,79,13.996,13.777000000000001,14.834000000000001,2860.3347799280004,9.474999999999998,8.43,5.678000000000001,453.5259914999999,23,14,5,1,2,1
1V4S_ALLOSTERIC_MRK_config_0_model_18.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_1V4S_ALLOSTERIC_MRK_config_0/predictions/1V4S_ALLOSTERIC_MRK_config_0/1V4S_ALLOSTERIC_MRK_config_0_model_18.pdb,1V4S_ALLOSTERIC_MRK_config_0_model_18,0.9608432650566101,0.9477488994598389,0.9864887595176697,0.9864887595176697,0.0,0.9544318914413452,0.9450557231903076,0.36348578333854675,0.581264317035675,0.9469068050384521,0.9804939031600952,0.9469068050384521,0.7588589787483215,0.9864887595176697,0.9804939031600952,2.649438053625712,27.71497877618868,67,264,624,12.125586411227637,26.37566366937522,142,6.173913043478261,66,53,17,4,0.3243594965575768,78,14.32,13.445999999999998,14.264,2746.4864140799996,8.849,8.550999999999998,5.302,401.19067029799993,23,14,5,1,2,1
