pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3F9N_ALLOSTERIC_38M_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_0.pdb,3F9N_ALLOSTERIC_38M_config_0_model_0,0.8489805459976196,0.8521985411643982,0.9402711391448975,0.9402711391448975,0.0,0.8261579275131226,0.7539017200469971,0.9785351157188416,1.315411925315857,0.8434635996818542,0.8830334544181824,0.8434635996818542,0.6219357252120972,0.9402711391448975,0.8830334544181824,1.9729424725521019,22.957420700983036,83,321,759,8.56302262093112,22.437902531208216,172,4.648648648648648,73,63,23,3,0.42243513277717687,61,15.414,13.316,14.518,2979.8604988320003,9.437,11.011,12.055,1252.6447783849999,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_1.pdb,3F9N_ALLOSTERIC_38M_config_0_model_1,0.8415277600288391,0.850196361541748,0.9271019697189331,0.9271019697189331,0.0,0.8201342225074768,0.7363181710243225,1.0133862495422363,1.453166127204895,0.8429747223854065,0.8857477903366089,0.8429747223854065,0.5814379453659058,0.9271019697189331,0.8857477903366089,1.6019737825570057,22.187143600575837,101,365,836,7.761256038046042,21.912527558453863,204,5.513513513513513,70,58,23,3,0.4383828954946352,59,13.363999999999999,14.787,13.940999999999999,2754.9293573879995,13.906,5.925,10.778,888.0322929,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_10.pdb,3F9N_ALLOSTERIC_38M_config_0_model_10,0.8281621932983398,0.8430321216583252,0.9143831729888916,0.9143831729888916,0.0,0.8066069483757019,0.7108449935913086,0.9877238273620605,1.4620577096939087,0.8378909230232239,0.8307120203971863,0.8378909230232239,0.47341814637184143,0.9143831729888916,0.8307120203971863,1.7103154679765957,22.929528913660473,95,309,730,8.000076927144598,22.738723007240313,178,4.8108108108108105,67,79,17,4,1.0992257074425886,58,10.402,14.474,15.354,2311.675945992,10.314,12.037,6.591,818.2701322380001,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_11.pdb,3F9N_ALLOSTERIC_38M_config_0_model_11,0.8280418515205383,0.8613283038139343,0.9017322063446045,0.9017322063446045,0.0,0.8096191883087158,0.7258997559547424,0.9570599794387817,1.5656228065490723,0.8586050271987915,0.868950366973877,0.8586050271987915,0.5560944080352783,0.9017322063446045,0.868950366973877,2.4525199285632726,22.087480945649645,64,287,715,7.488000616058239,21.803999656026413,163,4.405405405405405,53,60,20,3,0.7436547700759065,61,13.76,14.384,13.8,2731.348992,10.927000000000001,5.559,11.318000000000001,687.4914583740002,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_12.pdb,3F9N_ALLOSTERIC_38M_config_0_model_12,0.8276589512825012,0.8541814088821411,0.8605179190635681,0.8605179190635681,0.0,0.8194442391395569,0.7094593644142151,1.0161937475204468,1.8633882999420166,0.8557453155517578,0.8118874430656433,0.8557453155517578,0.44473129510879517,0.8605179190635681,0.8118874430656433,2.8343965848130708,23.71075154073378,63,259,643,9.401229442544373,22.869455787141064,134,3.6216216216216215,52,45,19,1,0.9318731759106549,53,14.76,12.718,14.230999999999998,2671.4103040799996,11.748999999999999,10.83,7.760999999999999,987.5226008699998,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_13.pdb,3F9N_ALLOSTERIC_38M_config_0_model_13,0.8270788192749023,0.8603372573852539,0.909639835357666,0.909639835357666,0.0,0.8064385652542114,0.6521337628364563,0.9196393489837646,1.469897985458374,0.8571596145629883,0.8377550840377808,0.8571596145629883,0.47774186730384827,0.909639835357666,0.8377550840377808,2.2783401853103507,22.066952995257488,84,291,703,7.783949533543539,21.91282097311982,171,4.621621621621622,48,71,21,3,0.946077997928586,62,14.648,12.551,14.524000000000001,2670.194525152,6.183,9.972,8.038,495.597969288,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_14.pdb,3F9N_ALLOSTERIC_38M_config_0_model_14,0.8260176777839661,0.875129222869873,0.8729699850082397,0.8729699850082397,0.0,0.8142795562744141,0.7093982696533203,0.9067289233207703,1.6634299755096436,0.8770754933357239,0.8579335808753967,0.8770754933357239,0.5321826934814453,0.8729699850082397,0.8579335808753967,2.3048524898569975,22.644534006734816,73,291,677,7.7161797368921174,22.5334478941861,157,4.243243243243243,62,50,18,2,0.20662164339273953,59,15.516,14.363000000000001,12.126999999999999,2702.578447116,12.679,7.484999999999999,10.485,995.0507727749999,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_15.pdb,3F9N_ALLOSTERIC_38M_config_0_model_15,0.8256563544273376,0.907171368598938,0.901859700679779,0.901859700679779,0.0,0.8066054582595825,0.6675779223442078,0.6983490586280823,1.3289036750793457,0.9091268181800842,0.8599173426628113,0.9091268181800842,0.58412104845047,0.901859700679779,0.8599173426628113,1.683864008760803,21.926691892195194,94,354,814,7.524879811104198,21.76180904704386,189,5.108108108108108,57,39,20,4,0.7856652476380271,65,14.497,12.364,14.52,2602.57798416,5.026999999999999,10.026,10.646,536.5658734919999,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_16.pdb,3F9N_ALLOSTERIC_38M_config_0_model_16,0.8251550793647766,0.8415290117263794,0.8637723922729492,0.8637723922729492,0.0,0.8155007362365723,0.6363951563835144,1.2061680555343628,2.270904302597046,0.8402882218360901,0.862707257270813,0.8402882218360901,0.3947567343711853,0.8637723922729492,0.862707257270813,1.9551219910788178,32.68190677524394,60,242,564,27.447071799357285,25.010373967615916,140,3.7837837837837838,63,30,16,2,1.5373753403763633,46,13.934000000000001,13.268,11.049,2042.698371288,8.487,7.458,13.747,870.1307443620001,37,29,4,2,1,1
3F9N_ALLOSTERIC_38M_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3F9N_ALLOSTERIC_38M_config_0/predictions/3F9N_ALLOSTERIC_38M_config_0/3F9N_ALLOSTERIC_38M_config_0_model_17.pdb,3F9N_ALLOSTERIC_38M_config_0_model_17,0.8239075541496277,0.8392602801322937,0.8894819617271423,0.8894819617271423,0.0,0.8075140118598938,0.7079049944877625,1.0660535097122192,1.7103506326675415,0.8351840376853943,0.8493329882621765,0.8351840376853943,0.5119871497154236,0.8894819617271423,0.8493329882621765,1.6905034752995918,22.37030024832247,95,341,743,7.998706258436803,21.94604549799348,201,5.4324324324324325,81,69,21,3,0.9308305550801135,63,13.675,14.773,11.855,2394.956287625,12.347999999999999,6.454999999999999,9.794,780.6438939599999,37,29,4,2,1,1
