pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
1BZC_ORTHOSTERIC_TPI_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_0.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_0,0.9639171957969666,0.9803173542022705,0.9877326488494873,0.9877326488494873,0.0,0.9579633474349976,0.9570021033287048,0.27790120244026184,0.3351580500602722,0.9797787070274353,0.9753430485725403,0.9797787070274353,0.830100953578949,0.9877326488494873,0.9753430485725403,2.395425014480729,24.87464985836395,118,373,748,9.138168352976743,24.641821227454614,221,7.620689655172414,65,67,14,14,2.5286024486803282,59,11.835,13.642,11.543,1863.6527870099999,4.91,5.75,15.216999999999999,429.6139525,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_1.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_1,0.9583114981651306,0.9809190034866333,0.9829920530319214,0.9829920530319214,0.0,0.952141284942627,0.9494370818138123,0.2834661900997162,0.3493700623512268,0.9809421300888062,0.9714313745498657,0.9809421300888062,0.8222373127937317,0.9829920530319214,0.9714313745498657,2.4567964913683835,24.487371686589476,106,340,726,8.533211786549066,24.34456449008229,209,7.206896551724138,65,69,14,14,2.726420198519096,55,13.562999999999999,12.306000000000001,10.232,1707.7850364959997,7.672,10.991,12.712,1071.913365824,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_10.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_10,0.9551083445549011,0.9838526248931885,0.9774683117866516,0.9774683117866516,0.0,0.9495183229446411,0.9384849667549133,0.28179675340652466,0.3810649514198303,0.9845483899116516,0.9599953889846802,0.9845483899116516,0.7360735535621643,0.9774683117866516,0.9599953889846802,2.4681442421382083,24.352197724360103,103,327,670,8.22014443142314,24.247626347293085,202,6.9655172413793105,58,65,15,11,2.8669323063404457,54,12.161999999999999,14.497,8.355,1473.09105447,7.432,10.215,12.287999999999998,932.8789094399998,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_11.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_11,0.9547845125198364,0.9811314344406128,0.9769760370254517,0.9769760370254517,0.0,0.9492366313934326,0.9396512508392334,0.2873079478740692,0.3864039480686188,0.9816458821296692,0.9605332016944885,0.9816458821296692,0.7399005889892578,0.9769760370254517,0.9605332016944885,2.6760906187945133,24.80814744643383,96,321,670,9.057220822474045,24.523860819483822,192,6.620689655172414,53,70,14,12,2.8261070173431673,52,11.018,12.963999999999999,13.532,1932.8750472639997,7.852,6.319,14.182,703.6652874160001,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_12.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_12,0.9542557597160339,0.9704104065895081,0.9745730757713318,0.9745730757713318,0.0,0.9491764903068542,0.9373811483383179,0.3129296898841858,0.4112868010997772,0.9702896475791931,0.9530705213546753,0.9702896475791931,0.7374951839447021,0.9745730757713318,0.9530705213546753,2.4137390082608348,24.149198520835032,108,339,718,8.358431644989217,23.984851062403102,202,6.9655172413793105,63,63,14,12,2.350022304601644,59,12.231,14.497,10.967,1944.589554369,9.692,12.014,9.144000000000002,1064.724507072,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_13.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_13,0.9542530179023743,0.9729704260826111,0.9725100994110107,0.9725100994110107,0.0,0.949688732624054,0.943342387676239,0.3037312924861908,0.411482036113739,0.9731042385101318,0.9514954686164856,0.9731042385101318,0.7453939914703369,0.9725100994110107,0.9514954686164856,2.61827290403426,24.055946961525567,122,376,728,8.22343268044477,23.89179139294769,232,8.0,57,82,14,15,2.5859550059516048,58,14.264000000000001,11.870000000000001,11.882,2011.7851457600004,10.725,9.191,12.373000000000001,1219.6496061750001,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_14.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_14,0.9541211128234863,0.9798533320426941,0.9817555546760559,0.9817555546760559,0.0,0.9472124576568604,0.9483619928359985,0.2972637414932251,0.3727668523788452,0.9797859787940979,0.9711567163467407,0.9797859787940979,0.8264329433441162,0.9817555546760559,0.9711567163467407,2.552520910786041,24.18419713101651,103,347,717,8.24374741033524,24.139901863824818,206,7.103448275862069,59,69,15,12,2.6138826150039933,54,13.56,13.616999999999999,10.847,2002.8608024399998,6.308,10.279,14.252,924.098710864,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_15.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_15,0.9530333876609802,0.981372058391571,0.9699568748474121,0.9699568748474121,0.0,0.9488024711608887,0.9374886155128479,0.2920696437358856,0.4230513870716095,0.9825488924980164,0.9456626176834106,0.9825488924980164,0.7085243463516235,0.9699568748474121,0.9456626176834106,2.6380149734222513,24.725783661293352,89,301,658,8.586915774185064,24.674837284160972,184,6.344827586206897,56,63,14,9,2.626465314024582,57,9.731,13.373,14.435,1878.4649904049998,9.491,10.847999999999999,10.784,1110.303040512,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_16.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_16,0.9526285529136658,0.976112961769104,0.9745811223983765,0.9745811223983765,0.0,0.9471403956413269,0.9379577040672302,0.29328253865242004,0.39687737822532654,0.9764360785484314,0.9533684849739075,0.9764360785484314,0.7096511125564575,0.9745811223983765,0.9533684849739075,2.6307787820339437,24.49245361140671,98,322,684,8.399213796254354,24.423562895203222,198,6.827586206896552,60,71,15,10,2.826998358842668,56,15.085999999999999,9.116,11.876999999999999,1633.3722629519996,9.854,13.649999999999999,5.3180000000000005,715.3087578,29,17,2,7,0,3
1BZC_ORTHOSTERIC_TPI_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1BZC_ORTHOSTERIC_TPI_config_0/predictions/1BZC_ORTHOSTERIC_TPI_config_0/1BZC_ORTHOSTERIC_TPI_config_0_model_17.pdb,1BZC_ORTHOSTERIC_TPI_config_0_model_17,0.9520739912986755,0.9821198582649231,0.9613295197486877,0.9613295197486877,0.0,0.9497600197792053,0.9347435235977173,0.29744771122932434,0.455972820520401,0.9841230511665344,0.9345372319221497,0.9841230511665344,0.7145459651947021,0.9613295197486877,0.9345372319221497,2.5958784640271584,23.99929358500697,105,314,690,8.174840109484094,23.89552949501107,194,6.689655172413793,62,64,14,12,2.5330648715107613,58,13.07,13.674000000000001,10.779,1926.4140412200002,10.251,13.067,7.161,959.2146395369999,29,17,2,7,0,3
