pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
4EJN_ALLOSTERIC_0R4_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_0.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_0,0.8740848898887634,0.9337818622589111,0.950228750705719,0.950228750705719,0.0,0.8550488352775574,0.834613561630249,0.5033402442932129,0.8820899724960327,0.9323315620422363,0.9040737152099609,0.9323315620422363,0.7612261772155762,0.950228750705719,0.9040737152099609,2.3442484936542027,22.629160240735143,89,434,1039,7.176853430168878,22.928196625069006,236,5.488372093023256,100,103,24,7,0.5289956546788684,71,14.305,14.189,14.07,2855.83918515,11.763000000000002,12.675,9.734,1451.3007073500003,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_1.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_1,0.8681726455688477,0.9422864317893982,0.9514979720115662,0.9514979720115662,0.0,0.8473413586616516,0.8137280941009521,0.48631492257118225,0.927239716053009,0.9414759874343872,0.9216670989990234,0.9414759874343872,0.7796414494514465,0.9514979720115662,0.9216670989990234,2.7025515721258677,22.45929735261985,93,451,1104,7.113326214720619,22.72022692432022,243,5.651162790697675,95,117,27,6,0.7447542339102842,80,13.991,14.504000000000001,15.262,3097.048431568,9.21,14.452,11.853,1577.66891076,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_10.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_10,0.8559145927429199,0.9234026074409485,0.9470292925834656,0.9470292925834656,0.0,0.8331359028816223,0.8050954937934875,0.5497262477874756,1.0032352209091187,0.9213270545005798,0.9097433090209961,0.9213270545005798,0.7220625877380371,0.9470292925834656,0.9097433090209961,2.638655718353571,22.306962050160248,88,396,1001,6.961561862049149,22.5755936244925,222,5.162790697674419,84,106,22,4,0.630275549509192,78,14.501,12.48,14.047,2542.12042656,8.671,14.863999999999999,10.729,1382.8151473759997,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_11.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_11,0.8557252883911133,0.9336424469947815,0.9376249313354492,0.9376249313354492,0.0,0.8352503180503845,0.8028323650360107,0.5356104373931885,1.015858769416809,0.9336179494857788,0.9063470959663391,0.9336179494857788,0.7041196823120117,0.9376249313354492,0.9063470959663391,2.4343077044613737,22.222586864822844,131,526,1190,6.9349619693101525,22.586738952253928,298,6.930232558139535,103,91,25,6,0.39442255123287295,85,12.812999999999999,13.829999999999998,14.061,2491.6624911899994,14.693000000000001,3.747,13.482,742.2470744220001,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_12.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_12,0.8556987643241882,0.9210289716720581,0.9366598129272461,0.9366598129272461,0.0,0.8354585766792297,0.7955513596534729,0.5605382919311523,1.105921745300293,0.9197020530700684,0.8776381015777588,0.9197020530700684,0.6603165864944458,0.9366598129272461,0.8776381015777588,2.295367073040824,22.534063326549123,137,505,1107,7.149351639448742,22.78095298707754,281,6.534883720930233,112,132,21,3,0.6823507650982644,80,15.024999999999999,14.081,14.3,3025.4084574999997,9.692,10.46,12.414000000000001,1258.5104644800003,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_13.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_13,0.85563725233078,0.9164772033691406,0.9484688639640808,0.9484688639640808,0.0,0.8324294090270996,0.8090208768844604,0.5934396386146545,1.0312446355819702,0.913561224937439,0.9076441526412964,0.913561224937439,0.7407300472259521,0.9484688639640808,0.9076441526412964,2.3807446314126173,22.39807811682704,124,511,1156,7.07366785300701,22.672378448155882,283,6.5813953488372094,107,129,26,5,0.7963343898687731,82,13.607,14.645,14.649000000000001,2919.172370235,13.196,4.920999999999999,12.193,791.7831325879998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_14.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_14,0.8541384935379028,0.9246782660484314,0.9276440739631653,0.9276440739631653,0.0,0.835762083530426,0.8067229986190796,0.5655114650726318,1.1724790334701538,0.9246562719345093,0.8915791511535645,0.9246562719345093,0.6963949799537659,0.9276440739631653,0.8915791511535645,2.598453578573225,22.640469292290224,94,430,1053,7.124877743583863,22.947700004574116,225,5.232558139534884,97,94,23,5,0.7378637409721521,74,14.405999999999999,14.232,14.306000000000001,2933.104702752,7.6370000000000005,12.761,14.259,1389.6216390630002,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_15.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_15,0.8538810610771179,0.9253138303756714,0.9315025210380554,0.9315025210380554,0.0,0.8344757556915283,0.7945894002914429,0.5514870882034302,1.1638147830963135,0.9247981905937195,0.9062311053276062,0.9247981905937195,0.7328062653541565,0.9315025210380554,0.9062311053276062,2.3193632746941564,22.622386987466978,128,544,1204,7.164670989285574,22.89015414974007,312,7.255813953488372,109,150,25,7,0.5386553497898451,86,15.326,13.996,14.106,3025.7750297760003,10.007,13.382,11.672,1563.0404029279998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_16.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_16,0.8529906272888184,0.9261860251426697,0.9182626008987427,0.9182626008987427,0.0,0.8366726040840149,0.8216295838356018,0.5718458890914917,1.260581374168396,0.9276898503303528,0.8784099221229553,0.9276898503303528,0.6288535594940186,0.9182626008987427,0.8784099221229553,1.976316776227941,22.37623478634688,136,460,1103,6.893403311152102,22.756905248727513,285,6.627906976744186,78,114,25,5,0.2504050630500211,80,14.053999999999998,13.259,13.276,2473.876206136,9.753,11.626000000000001,14.795,1677.5810525100003,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_17.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_17,0.852755069732666,0.9265484809875488,0.9248925447463989,0.9248925447463989,0.0,0.8347206711769104,0.7980668544769287,0.5598669648170471,1.204014539718628,0.9272023439407349,0.8919928073883057,0.9272023439407349,0.6401496529579163,0.9248925447463989,0.8919928073883057,2.049830724718507,21.943244949822343,128,477,1087,6.758384366639484,22.291464599640417,274,6.372093023255814,88,94,25,9,0.3467660048284476,82,13.678,13.606,14.297999999999998,2660.8988066639995,14.603,7.996,10.302,1202.919087576,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_18.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_18.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_18,0.8526058197021484,0.9208279848098755,0.9334449768066406,0.9334449768066406,0.0,0.8323960900306702,0.801339864730835,0.5748085975646973,1.1285359859466553,0.9200194478034973,0.898646354675293,0.9200194478034973,0.7221651077270508,0.9334449768066406,0.898646354675293,1.857913883903127,22.38704948211148,122,477,1128,7.0635111562982384,22.610513207189257,276,6.4186046511627906,111,135,25,7,0.8957091076580649,81,12.515,14.479000000000001,14.15,2564.0462927500002,13.928999999999998,10.491999999999999,10.146,1482.7675679279998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_19.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_19.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_19,0.8521421551704407,0.9003360271453857,0.9123207330703735,0.9123207330703735,0.0,0.8370975255966187,0.8150529861450195,0.6734839677810669,1.4402735233306885,0.8996742367744446,0.8931940197944641,0.8996742367744446,0.6495899558067322,0.9123207330703735,0.8931940197944641,2.2786647405882245,22.327643294725654,132,500,1155,7.045407372108139,22.579860274128492,280,6.511627906976744,100,130,26,6,0.6129565727258421,78,14.201,14.279,13.072,2650.688904688,12.58,8.927,14.239,1599.06333674,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_2.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_2.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_2,0.8652831315994263,0.9234017133712769,0.9413617253303528,0.9413617253303528,0.0,0.8462634086608887,0.8204491138458252,0.5450859069824219,1.029460072517395,0.9217950105667114,0.8982575535774231,0.9217950105667114,0.738132894039154,0.9413617253303528,0.8982575535774231,2.4419230127094504,22.541196443289873,90,439,1047,7.068501916331846,22.805659845681255,231,5.372093023255814,107,91,25,6,0.6287000841765951,77,13.416,14.244,13.815000000000001,2640.0120177600006,14.562,10.044,11.035,1613.98713348,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_20.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_20.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_20,0.8518139719963074,0.9065151810646057,0.9170679450035095,0.9170679450035095,0.0,0.8355005383491516,0.8001117706298828,0.6480502486228943,1.3112313747406006,0.9059616327285767,0.8782439231872559,0.9059616327285767,0.6453269124031067,0.9170679450035095,0.8782439231872559,2.1916012411020396,22.242757953709834,114,469,1110,7.031166948096933,22.500641223535915,262,6.093023255813954,103,102,26,4,0.8329849202195923,80,13.030999999999999,14.289,13.055,2430.8404647449997,14.513,8.876,12.626,1626.4483408879998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_21.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_21.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_21,0.8517230153083801,0.9249683022499084,0.9615256190299988,0.9615256190299988,0.0,0.8242723941802979,0.8132083415985107,0.5267643332481384,0.8124731779098511,0.9216594696044922,0.913058876991272,0.9216594696044922,0.7671611309051514,0.9615256190299988,0.913058876991272,2.471595840747431,22.287042024291242,105,487,1116,7.082611827706341,22.459396974905637,255,5.930232558139535,98,96,29,3,0.5920955611351268,76,11.754,14.805,13.612,2368.73260764,14.186,5.179,12.088999999999999,888.170295166,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_22.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_22.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_22,0.8514081239700317,0.920906662940979,0.9392457008361816,0.9392457008361816,0.0,0.8294486999511719,0.8075478076934814,0.5728510022163391,1.0575894117355347,0.9194638133049011,0.8939210772514343,0.9194638133049011,0.7101006507873535,0.9392457008361816,0.8939210772514343,2.3392798037002756,22.24703736261205,164,599,1222,7.068556749581615,22.473201796806485,332,7.72093023255814,133,142,22,7,0.6037103736174951,80,14.819,12.576,14.297,2664.4424479680006,10.178999999999998,14.222999999999999,8.856,1282.1355209519998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_23.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_23.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_23,0.8501562476158142,0.9219942092895508,0.9371131062507629,0.9371131062507629,0.0,0.8284169435501099,0.8051013350486755,0.5672568678855896,1.0708996057510376,0.9207860231399536,0.8981700539588928,0.9207860231399536,0.7064738869667053,0.9371131062507629,0.8981700539588928,1.9849337520431254,22.405094358741056,114,497,1099,6.9747269008567345,22.72389362530169,266,6.186046511627907,110,117,24,6,0.6962475817210141,73,13.642999999999999,14.245999999999999,14.733,2863.4790364739993,13.544999999999998,11.203,10.054,1525.6405602899997,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_24.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_24.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_24,0.8500133752822876,0.9116623997688293,0.9399462938308716,0.9399462938308716,0.0,0.8275301456451416,0.8055986762046814,0.59202641248703,1.074599266052246,0.9092721939086914,0.8936053514480591,0.9092721939086914,0.7189306020736694,0.9399462938308716,0.8936053514480591,2.31370071530438,22.32482575813636,97,495,1128,7.0041342246598335,22.588732512008924,260,6.046511627906977,97,110,25,8,0.7984630141212073,79,14.954,12.889,15.280999999999999,2945.292121786,6.168,14.075,13.229,1148.4703433999998,43,33,7,2,0,1
4EJN_ALLOSTERIC_0R4_config_0_model_25.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_4EJN_ALLOSTERIC_0R4_config_0/predictions/4EJN_ALLOSTERIC_0R4_config_0/4EJN_ALLOSTERIC_0R4_config_0_model_25.pdb,4EJN_ALLOSTERIC_0R4_config_0_model_25,0.8492857217788696,0.9117547273635864,0.9449219107627869,0.9449219107627869,0.0,0.8253766298294067,0.8015029430389404,0.5769462585449219,0.9803818464279175,0.9086894392967224,0.9021812677383423,0.9086894392967224,0.6844428777694702,0.9449219107627869,0.9021812677383423,1.7917750974941022,22.12004738431675,120,562,1285,6.909647068819672,22.38166247172913,307,7.1395348837209305,101,133,27,6,0.5882480539329097,88,14.177,13.527999999999999,14.806999999999999,2839.7820539919994,11.231,16.808,5.561,1049.753573528,43,33,7,2,0,1
