pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
2PIO_ORTHOSTERIC_DHT_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_0.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_0,0.9825001955032349,0.9851648807525635,0.9959110021591187,0.9959110021591187,0.0,0.9791474342346191,0.9859265685081482,0.2676542103290558,0.2709638476371765,0.9844289422035217,0.9174594283103943,0.9844289422035217,0.7677047252655029,0.9959110021591187,0.9174594283103943,2.398192861302027,19.446537756912946,39,203,571,7.737836728170825,18.326911660178702,108,5.142857142857143,75,26,21,3,1.178208930254753,82,13.558,13.479,14.654,2677.9933244279996,3.6529999999999996,10.847999999999999,4.092,162.15672844799997,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_1.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_1,0.9820947647094727,0.9840127229690552,0.9957979321479797,0.9957979321479797,0.0,0.9786689877510071,0.9856973886489868,0.27033647894859314,0.27124619483947754,0.9832019209861755,0.9178411960601807,0.9832019209861755,0.7631288170814514,0.9957979321479797,0.9178411960601807,2.7147257688392763,19.500299485145312,36,202,554,7.744947581309853,18.370969734096057,112,5.333333333333333,73,32,21,3,1.1759717581497007,83,13.889000000000001,14.617,13.859000000000002,2813.5919946670006,7.438000000000001,2.9610000000000003,8.971,197.57656837800005,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_10.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_10,0.9814071655273438,0.9802247285842896,0.9947038292884827,0.9947038292884827,0.0,0.9780830144882202,0.9856505393981934,0.28014054894447327,0.2807857096195221,0.9791985750198364,0.9049853086471558,0.9791985750198364,0.7375824451446533,0.9947038292884827,0.9049853086471558,2.5343703360006407,19.36153580342792,44,228,574,7.724684708088625,18.256260720591587,119,5.666666666666667,79,33,20,3,1.1565083973567432,88,14.581000000000001,14.264,14.158,2944.628750672,4.879,9.301,5.422000000000001,246.048077338,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_11.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_11,0.9813768267631531,0.9830089807510376,0.9955518841743469,0.9955518841743469,0.0,0.9778330326080322,0.9855572581291199,0.27349919080734253,0.27272477746009827,0.9821532964706421,0.909903347492218,0.9821532964706421,0.7435325384140015,0.9955518841743469,0.909903347492218,2.5203898507968967,19.400740517596617,47,212,579,7.715265732526245,18.254415657479647,120,5.714285714285714,81,32,21,3,1.0568102670027268,83,14.279,15.014,13.975999999999999,2996.243446256,5.531,9.51,3.4290000000000003,180.36474849,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_12.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_12,0.9813652038574219,0.9778698086738586,0.9939845204353333,0.9939845204353333,0.0,0.9782103300094604,0.985467791557312,0.28206536173820496,0.28697386384010315,0.9767454266548157,0.9057201743125916,0.9767454266548157,0.7323707938194275,0.9939845204353333,0.9057201743125916,2.5715617822638444,19.418608761123892,47,206,577,7.711743833985946,18.288864508175408,117,5.571428571428571,79,32,21,3,1.158701853777167,81,13.93,14.588000000000001,14.14,2873.4012776000004,9.829,5.139,4.062,205.17662032200002,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_13.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_13,0.9813440442085266,0.9807752966880798,0.9947003722190857,0.9947003722190857,0.0,0.9780049324035645,0.985546350479126,0.279807984828949,0.2803681790828705,0.9797970056533813,0.9140990376472473,0.9797970056533813,0.7474615573883057,0.9947003722190857,0.9140990376472473,2.617076613322583,19.42497664586239,47,213,564,7.711398828933545,18.299201784417225,113,5.380952380952381,74,33,21,3,1.041137027427165,85,13.887,13.741999999999999,14.248000000000001,2719.019274192,3.3180000000000005,5.109999999999999,10.649,180.55358201999996,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_14.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_14,0.9812479019165039,0.9795382022857666,0.9943886995315552,0.9943886995315552,0.0,0.9779627323150635,0.985531747341156,0.2792671322822571,0.28181779384613037,0.9785001277923584,0.9090902805328369,0.9785001277923584,0.7365805506706238,0.9943886995315552,0.9090902805328369,2.6279143821669684,19.384283977728536,51,209,576,7.687909515614467,18.276835077605234,113,5.380952380952381,75,32,21,3,1.2031004882594507,87,15.422999999999998,14.444,13.738,3060.411677256,8.484,4.8549999999999995,6.164,253.89405047999998,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_15.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_15,0.9812044501304626,0.9814455509185791,0.9953258037567139,0.9953258037567139,0.0,0.9776740074157715,0.9853808879852295,0.27498659491539,0.2750236988067627,0.9804996848106384,0.91005939245224,0.9804996848106384,0.7491759061813354,0.9953258037567139,0.91005939245224,2.5237701955606022,19.397581000599605,59,214,587,7.696438784521086,18.27638338003966,118,5.619047619047619,75,36,21,4,1.0493994668158644,88,15.187,13.98,15.128,3211.8901252799997,9.259,4.664,5.0600000000000005,218.51091856000002,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_16.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_16,0.9811645746231079,0.977005660533905,0.9935966730117798,0.9935966730117798,0.0,0.9780564904212952,0.9853174090385437,0.28239715099334717,0.29016000032424927,0.9759025573730469,0.8995043039321899,0.9759025573730469,0.7183001041412354,0.9935966730117798,0.8995043039321899,2.4839738323903493,19.46510761181793,48,220,571,7.733691564948213,18.382696045696157,110,5.238095238095238,71,32,20,3,1.2048627978841382,87,14.302,14.711,14.113999999999999,2969.539334308,6.072,9.334000000000001,3.319000000000001,188.10780331200007,21,19,0,2,0,0
2PIO_ORTHOSTERIC_DHT_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_2PIO_ORTHOSTERIC_DHT_config_0/predictions/2PIO_ORTHOSTERIC_DHT_config_0/2PIO_ORTHOSTERIC_DHT_config_0_model_17.pdb,2PIO_ORTHOSTERIC_DHT_config_0_model_17,0.9811460375785828,0.9761136174201965,0.9935795068740845,0.9935795068740845,0.0,0.9780376553535461,0.9854656457901001,0.2883080244064331,0.29036998748779297,0.9748948216438293,0.8925461769104004,0.9748948216438293,0.7057934999465942,0.9935795068740845,0.8925461769104004,2.431565133818134,19.47667517224318,45,211,573,7.7357438755010834,18.36870277275022,114,5.428571428571429,73,34,21,4,1.042105669261534,84,15.326,14.355,14.018,3084.0263051400007,7.719,8.001999999999999,3.2600000000000002,201.36184788,21,19,0,2,0,0
