pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
1JQH_ORTHOSTERIC_ANP_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_0.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_0,0.9211012125015259,0.9646518230438232,0.9658101797103882,0.9658101797103882,0.0,0.9099239706993103,0.8304440379142761,0.39687514305114746,0.6445276141166687,0.9667620062828064,0.9257680177688599,0.9667620062828064,0.7693397402763367,0.9658101797103882,0.9257680177688599,1.9200752589416907,21.692274799976026,93,337,753,7.400901942265751,21.77436814234865,204,6.580645161290323,90,29,20,13,1.309393627682845,65,13.622,12.873999999999999,14.902,2613.3581964559994,8.484,10.969999999999999,7.238,673.6368962399999,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_1.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_1,0.9193561673164368,0.9564873576164246,0.96860271692276,0.96860271692276,0.0,0.907044529914856,0.83623868227005,0.39881280064582825,0.5936006307601929,0.9569908380508423,0.9267213344573975,0.9569908380508423,0.7657256126403809,0.96860271692276,0.9267213344573975,1.4814428777377813,21.644567308435448,91,325,738,7.286606948790483,21.81660887947516,176,5.67741935483871,85,24,21,13,0.3643599510934692,57,13.559999999999999,14.034,13.308,2532.52624032,7.883,10.738,9.882000000000001,836.4881168280001,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_10.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_10,0.9137946963310242,0.9468574523925781,0.954913318157196,0.954913318157196,0.0,0.9035150408744812,0.8271011710166931,0.4546826183795929,0.7733606696128845,0.9497721195220947,0.9006093740463257,0.9497721195220947,0.722767174243927,0.954913318157196,0.9006093740463257,2.5856113397028553,21.86164946626381,67,263,668,7.447157564188896,21.952067920297324,147,4.741935483870968,64,27,21,8,1.303917327855967,51,14.280999999999999,13.662,13.068000000000001,2549.658563496,4.918000000000001,6.986,13.501000000000001,463.85585514800016,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_11.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_11,0.9131997227668762,0.9584559202194214,0.9597973227500916,0.9597973227500916,0.0,0.90155029296875,0.8186742663383484,0.41316476464271545,0.691307783126831,0.9609232544898987,0.8975816965103149,0.9609232544898987,0.7514447569847107,0.9597973227500916,0.8975816965103149,2.6188497475036634,21.837593863433632,97,335,739,7.459157748147575,21.98061485715509,186,6.0,89,24,20,12,1.097455348385132,63,14.399000000000001,14.767999999999999,13.583,2888.349319856,6.513,8.646,10.145999999999999,571.3354441079999,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_12.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_12,0.9131657481193542,0.9590805172920227,0.9649654626846313,0.9649654626846313,0.0,0.9002158045768738,0.8213825225830078,0.4060235023498535,0.6837158799171448,0.9615086913108826,0.9224480390548706,0.9615086913108826,0.7502202391624451,0.9649654626846313,0.9224480390548706,1.4844952003964176,21.98163395953284,122,374,806,7.568490453033144,22.169576393970782,224,7.225806451612903,136,24,22,20,0.5231135481563755,69,10.207,13.766,14.699,2065.350051838,10.459,5.769,10.711,646.280007381,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_13.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_13,0.913149356842041,0.9427182078361511,0.9597716927528381,0.9597716927528381,0.0,0.9014937877655029,0.8337786793708801,0.4663889706134796,0.6978500485420227,0.943195104598999,0.9089998602867126,0.943195104598999,0.73550945520401,0.9597716927528381,0.9089998602867126,2.177156631939926,21.43073298159322,92,308,719,7.31710348541463,21.530016813385735,175,5.645161290322581,86,29,22,12,0.9136886466201097,60,13.104000000000001,13.876999999999999,13.862,2520.724411296,12.725999999999999,6.644,6.636,561.084045984,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_14.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_14,0.9131275415420532,0.9428433775901794,0.960826575756073,0.960826575756073,0.0,0.9012027382850647,0.8276530504226685,0.48036888241767883,0.7460106611251831,0.9436752796173096,0.9065502285957336,0.9436752796173096,0.7449074983596802,0.960826575756073,0.9065502285957336,2.310673927666991,21.401463572596132,108,348,752,7.242939814998198,21.59655573215597,206,6.645161290322581,113,44,22,16,0.8311657078603487,62,15.099,14.518,13.248,2904.058071936,8.739999999999998,9.212000000000002,8.471,682.02460648,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_15.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_15,0.9130733609199524,0.9372329711914062,0.9514691829681396,0.9514691829681396,0.0,0.9034743309020996,0.8365698456764221,0.4789670407772064,0.7343856692314148,0.9380649924278259,0.8900322318077087,0.9380649924278259,0.7258214354515076,0.9514691829681396,0.8900322318077087,2.572023522442981,21.363386185125538,82,313,751,7.260985858919696,21.52683231457845,194,6.258064516129032,67,35,22,15,0.5848028845583461,63,14.368,14.808,14.870000000000001,3163.7611852800005,10.211,8.361,8.375,715.0086821250001,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_16.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_16,0.9130297899246216,0.9451122879981995,0.9605535268783569,0.9605535268783569,0.0,0.9011488556861877,0.826158881187439,0.46791717410087585,0.7508864402770996,0.9465388655662537,0.9126017093658447,0.9465388655662537,0.7362349629402161,0.9605535268783569,0.9126017093658447,1.7245608136566248,21.34861163092248,123,407,852,7.27647157409543,21.51711292011221,238,7.67741935483871,143,22,23,18,0.7945320308974804,70,14.439,13.142999999999999,15.068,2859.481135836,7.947,12.495000000000001,5.234,519.72450201,31,10,6,12,0,3
1JQH_ORTHOSTERIC_ANP_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_1JQH_ORTHOSTERIC_ANP_config_0/predictions/1JQH_ORTHOSTERIC_ANP_config_0/1JQH_ORTHOSTERIC_ANP_config_0_model_17.pdb,1JQH_ORTHOSTERIC_ANP_config_0_model_17,0.9125373959541321,0.9415157437324524,0.9604101777076721,0.9604101777076721,0.0,0.9005692005157471,0.8269739151000977,0.467045396566391,0.7192655801773071,0.9419117569923401,0.9048574566841125,0.9419117569923401,0.744483232498169,0.9604101777076721,0.9048574566841125,2.022603520218434,21.650563873005495,91,335,727,7.2992034541348305,21.81648732035269,191,6.161290322580645,101,30,20,11,0.9086210110939298,58,13.812999999999999,14.719999999999999,15.036000000000001,3057.23018496,8.766,8.726,8.880999999999998,679.3264821959999,31,10,6,12,0,3
