pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3BZ3_ORTHOSTERIC_YAM_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_0.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_0,0.9574152231216431,0.9701268076896667,0.9818485975265503,0.9818485975265503,0.0,0.9513068795204163,0.9526340365409851,0.3341258764266968,0.42098841071128845,0.9703247547149658,0.926176130771637,0.9703247547149658,0.7285614013671875,0.9818485975265503,0.926176130771637,2.763090479879369,21.507770913209892,90,396,886,7.61190804979784,21.350604359126365,219,6.257142857142857,98,33,22,6,0.8021830008870859,65,13.252,13.117999999999999,14.440000000000001,2510.24578784,12.203,8.350000000000001,7.489,763.09202945,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_1.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_1,0.953477680683136,0.9659643769264221,0.9800705313682556,0.9800705313682556,0.0,0.9468294382095337,0.9473167657852173,0.3344871401786804,0.4292949438095093,0.9663056135177612,0.9192374348640442,0.9663056135177612,0.7401279211044312,0.9800705313682556,0.9192374348640442,2.847130134012142,21.35710765480392,97,400,880,7.527596658981649,21.199389613822277,223,6.371428571428571,117,31,21,6,0.7350509850427007,70,14.096,12.723,14.238,2553.491443104,10.18,10.341000000000001,8.522000000000002,897.1227003600003,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_10.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_10,0.9459978938102722,0.9620251655578613,0.9677174091339111,0.9677174091339111,0.0,0.9405680298805237,0.9378829598426819,0.3807593286037445,0.5391398668289185,0.9629560708999634,0.9061259627342224,0.9629560708999634,0.6999356150627136,0.9677174091339111,0.9061259627342224,2.757055857250628,21.37950447505174,89,385,858,7.570317642455047,21.21106826501524,207,5.914285714285715,102,33,24,5,0.919159933780043,69,15.398,13.759,12.524000000000001,2653.3481909680004,7.0360000000000005,8.768,12.232,754.612238336,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_11.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_11,0.9459373354911804,0.9555920362472534,0.9645817279815674,0.9645817279815674,0.0,0.9412762522697449,0.93925541639328,0.40809115767478943,0.575599193572998,0.9565644264221191,0.9000419974327087,0.9565644264221191,0.7282489538192749,0.9645817279815674,0.9000419974327087,2.90855307670326,21.401748948944235,90,379,845,7.549356924301126,21.251047479847237,195,5.571428571428571,110,24,23,6,0.8486968184266636,65,13.751,13.885,13.838000000000001,2642.12580313,8.305,6.941000000000001,13.132000000000001,756.9942056600001,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_12.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_12,0.9458830952644348,0.9713313579559326,0.9785059094429016,0.9785059094429016,0.0,0.9377273321151733,0.9337248802185059,0.33094874024391174,0.43854430317878723,0.9722878336906433,0.9241276383399963,0.9722878336906433,0.7629780769348145,0.9785059094429016,0.9241276383399963,2.91614642979395,21.564849203140678,85,311,705,7.5957099667417864,21.297322085180788,162,4.628571428571429,81,33,22,3,1.083699181603544,65,13.239,14.613000000000001,12.787,2473.7922900090007,12.436,6.0120000000000005,10.204,762.9044273280001,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_13.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_13,0.9453874826431274,0.9512406587600708,0.9687705039978027,0.9687705039978027,0.0,0.939541757106781,0.9360262751579285,0.40114545822143555,0.5410330891609192,0.9508850574493408,0.9039384126663208,0.9508850574493408,0.7193415760993958,0.9687705039978027,0.9039384126663208,2.5872535631437446,21.29588533063812,89,391,855,7.494376760277351,21.15119794479316,199,5.685714285714286,98,28,22,3,0.8790953406893254,68,13.235000000000001,13.95,14.546,2685.6025245,11.600999999999999,10.164,8.304,979.145931456,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_14.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_14,0.9452640414237976,0.9725460410118103,0.985369861125946,0.985369861125946,0.0,0.9352375864982605,0.9384762048721313,0.31205832958221436,0.3732391595840454,0.9719923734664917,0.9282824993133545,0.9719923734664917,0.7410687208175659,0.985369861125946,0.9282824993133545,2.886493374321167,21.44667470844397,97,408,909,7.588706098779852,21.31064528483262,225,6.428571428571429,116,33,24,4,0.8925718479527808,67,13.024000000000001,13.785,14.91,2676.8793744,12.475999999999999,8.068999999999999,6.476999999999999,652.0321025879998,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_15.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_15,0.9448229670524597,0.9657995104789734,0.9753105044364929,0.9753105044364929,0.0,0.9372010827064514,0.9347864389419556,0.360938161611557,0.4845969080924988,0.9659382104873657,0.9200525879859924,0.9659382104873657,0.7487276792526245,0.9753105044364929,0.9200525879859924,2.4988255241212824,21.42041433152776,82,368,850,7.533718527221407,21.304168300026134,198,5.6571428571428575,92,29,22,5,0.7222097783186371,67,13.509,14.088000000000001,14.865,2829.02938308,11.204,8.181000000000001,8.210999999999999,752.619635964,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_16.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_16,0.9441474080085754,0.9676686525344849,0.9697458744049072,0.9697458744049072,0.0,0.9377477765083313,0.9345881938934326,0.3590332567691803,0.5099129676818848,0.9694189429283142,0.9024558067321777,0.9694189429283142,0.7071019411087036,0.9697458744049072,0.9024558067321777,2.8936644587788685,21.51122600436148,79,334,763,7.545709552780971,21.34440002557787,188,5.371428571428571,86,27,22,4,1.2360846037643736,65,13.11,13.253,14.982,2603.0750070599997,13.27,8.895,7.023,828.9713929499999,35,21,7,3,1,3
3BZ3_ORTHOSTERIC_YAM_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_3BZ3_ORTHOSTERIC_YAM_config_0/predictions/3BZ3_ORTHOSTERIC_YAM_config_0/3BZ3_ORTHOSTERIC_YAM_config_0_model_17.pdb,3BZ3_ORTHOSTERIC_YAM_config_0_model_17,0.9440140724182129,0.9576054215431213,0.9769459366798401,0.9769459366798401,0.0,0.9357811212539673,0.9356609582901001,0.3662572503089905,0.45760953426361084,0.9569510817527771,0.9090331792831421,0.9569510817527771,0.7360821962356567,0.9769459366798401,0.9090331792831421,2.7297399143508168,21.49025613662101,94,370,849,7.668998389522215,21.302996326770018,200,5.714285714285714,106,31,22,4,0.8958043507531191,69,13.339,14.657,14.723999999999998,2878.6851614519996,12.039,7.499,6.591,595.038518451,35,21,7,3,1,3
