pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
6FVF_ALLOSTERIC_503_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_0.pdb,6FVF_ALLOSTERIC_503_config_0_model_0,0.9667134284973145,0.9824163317680359,0.9674050211906433,0.9674050211906433,0.0,0.9665405750274658,0.9157716631889343,0.3319260776042938,0.5980337858200073,0.9853454232215881,0.9315332770347595,0.9853454232215881,0.6985180377960205,0.9674050211906433,0.9315332770347595,2.990257012365326,23.40279325601624,69,316,733,8.319872476953346,23.29018225561993,169,4.970588235294118,85,19,21,2,0.7245371657068812,74,12.392999999999999,13.767,14.193,2421.5306191829995,14.687,9.617,4.539000000000001,641.110505781,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_1.pdb,6FVF_ALLOSTERIC_503_config_0_model_1,0.9647394418716431,0.9794109463691711,0.9652265906333923,0.9652265906333923,0.0,0.9646176695823669,0.9067657589912415,0.3412676155567169,0.6232507824897766,0.9824152588844299,0.9324389696121216,0.9824152588844299,0.6765828728675842,0.9652265906333923,0.9324389696121216,2.813693124702834,23.650111725482002,80,309,699,8.435202510096447,23.52791519493818,168,4.9411764705882355,90,17,20,2,1.1135746829507465,66,14.591000000000001,14.162000000000003,14.75,3047.906694500001,7.772,8.616000000000001,12.597,843.539864544,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_10.pdb,6FVF_ALLOSTERIC_503_config_0_model_10,0.9583103060722351,0.9799506068229675,0.9493372440338135,0.9493372440338135,0.0,0.9605535864830017,0.8986116647720337,0.3532816469669342,0.7087231278419495,0.984832763671875,0.919528603553772,0.984832763671875,0.6670070886611938,0.9493372440338135,0.919528603553772,2.572499368318678,23.686345098402928,73,297,689,8.290871873981366,23.693590082214676,163,4.794117647058823,98,9,18,3,0.8597389869212514,63,14.443999999999999,12.543000000000001,14.894,2698.3622442480005,8.299999999999999,14.158000000000001,5.2010000000000005,611.1767914000001,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_11.pdb,6FVF_ALLOSTERIC_503_config_0_model_11,0.9582504630088806,0.979235827922821,0.9445570111274719,0.9445570111274719,0.0,0.9616737961769104,0.8876356482505798,0.36677291989326477,0.7357217669487,0.9845695495605469,0.9013040661811829,0.9845695495605469,0.5910077095031738,0.9445570111274719,0.9013040661811829,2.5494526863623097,24.295659302308618,70,270,586,8.458858470004694,24.333580778386676,156,4.588235294117647,92,9,16,2,0.9762830818379474,49,13.283000000000001,13.458,11.938,2134.0680859320005,9.247000000000002,11.262,7.441000000000001,774.9036118740003,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_12.pdb,6FVF_ALLOSTERIC_503_config_0_model_12,0.9571329951286316,0.9821233749389648,0.9525008797645569,0.9525008797645569,0.0,0.9582910537719727,0.8837790489196777,0.3450378179550171,0.6803128719329834,0.9867605566978455,0.9203874468803406,0.9867605566978455,0.6452945470809937,0.9525008797645569,0.9203874468803406,2.612101261436854,24.237676344465807,60,244,591,8.466057857908938,24.281571344940026,141,4.147058823529412,87,5,15,2,0.6895713326318121,55,12.191,14.783999999999999,14.655000000000001,2641.29620832,10.068,8.054,11.989,972.160099608,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_13.pdb,6FVF_ALLOSTERIC_503_config_0_model_13,0.9571009874343872,0.9802224040031433,0.9508718848228455,0.9508718848228455,0.0,0.9586582779884338,0.8820343613624573,0.3551805019378662,0.7016646862030029,0.98433518409729,0.9165997505187988,0.98433518409729,0.6454312205314636,0.9508718848228455,0.9165997505187988,2.7377457880526452,23.442144403507974,68,304,721,8.392708942411838,23.2888239599839,154,4.529411764705882,80,20,20,1,0.8128427479149075,71,14.757,12.059999999999999,15.229999999999999,2710.4742665999997,10.219999999999999,9.227,11.120999999999999,1048.7096327399997,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_14.pdb,6FVF_ALLOSTERIC_503_config_0_model_14,0.956952691078186,0.977790117263794,0.9523153901100159,0.9523153901100159,0.0,0.9581120014190674,0.8748927116394043,0.36132630705833435,0.6972275376319885,0.9822726249694824,0.917560338973999,0.9822726249694824,0.6907346248626709,0.9523153901100159,0.917560338973999,2.592606410545187,23.525553151661637,79,345,741,8.40461951081378,23.384007141602403,183,5.382352941176471,92,32,19,3,0.8872634122173937,65,13.597999999999999,11.946,14.561,2365.3137101879997,14.246,6.599,5.731999999999999,538.8616171279999,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_15.pdb,6FVF_ALLOSTERIC_503_config_0_model_15,0.9560056924819946,0.9810047745704651,0.9412972331047058,0.9412972331047058,0.0,0.9596827626228333,0.8756980895996094,0.36510512232780457,0.7645013332366943,0.9863467216491699,0.8903223872184753,0.9863467216491699,0.5630408525466919,0.9412972331047058,0.8903223872184753,3.1064960968911572,24.175464777647242,57,253,599,8.558707749267235,24.188698610969624,132,3.8823529411764706,85,8,16,2,0.5651743125411164,51,13.796,13.654,14.375,2707.8271449999997,13.23,8.607999999999999,7.345000000000001,836.4768048,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_16.pdb,6FVF_ALLOSTERIC_503_config_0_model_16,0.9558913111686707,0.9819923639297485,0.9392255544662476,0.9392255544662476,0.0,0.9600577354431152,0.8754981160163879,0.3625498414039612,0.7724452018737793,0.9878566265106201,0.9094238877296448,0.9878566265106201,0.6263848543167114,0.9392255544662476,0.9094238877296448,3.064000815926784,24.132935153451434,49,261,628,8.581520836005902,24.10093306102598,138,4.0588235294117645,100,4,16,1,0.7826305569204998,54,11.045,14.507000000000001,14.503,2323.813006945,11.845,8.309000000000001,9.931000000000001,977.4100627550004,34,24,3,5,1,1
6FVF_ALLOSTERIC_503_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template-mine/my_intermediate/predictions/boltz_results_6FVF_ALLOSTERIC_503_config_0/predictions/6FVF_ALLOSTERIC_503_config_0/6FVF_ALLOSTERIC_503_config_0_model_17.pdb,6FVF_ALLOSTERIC_503_config_0_model_17,0.9555217027664185,0.9788497090339661,0.9469271302223206,0.9469271302223206,0.0,0.957670271396637,0.8723790049552917,0.35738348960876465,0.7310323119163513,0.9842454791069031,0.9172945618629456,0.9842454791069031,0.6829096674919128,0.9469271302223206,0.9172945618629456,2.9312702024890163,23.51255441325757,58,273,646,8.366860571399675,23.35289501283393,152,4.470588235294118,87,20,20,3,0.9247137780777244,68,13.895,15.581,12.318999999999999,2667.0388004049996,10.067,5.4799999999999995,11.852,653.8411803199999,34,24,3,5,1,1
