pdb_file,pdb_path,model_id,confidence_score,ptm,iptm,ligand_iptm,protein_iptm,complex_plddt,complex_iplddt,complex_pde,complex_ipde,chains_ptm_0,chains_ptm_1,pair_chains_iptm_0_0,pair_chains_iptm_0_1,pair_chains_iptm_1_0,pair_chains_iptm_1_1,min_distance,mean_distance,distances_under_4A,distances_under_5A,distances_under_6A,std_distance,median_distance,total_contacts,contacts_per_ligand_atom,hydrophobic_contacts,polar_contacts,num_contacting_residues,potential_hbonds,ligand_binding_site_distance,binding_site_size,pocket_span_x,pocket_span_y,pocket_span_z,pocket_volume_approx,ligand_span_x,ligand_span_y,ligand_span_z,ligand_volume_approx,ligand_heavy_atoms,ligand_carbon_count,ligand_nitrogen_count,ligand_oxygen_count,ligand_sulfur_count,ligand_other_count
3LW0_ALLOSTERIC_CCX_config_0_model_0.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_0.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_0,0.915540337562561,0.9600494503974915,0.9133001565933228,0.9133001565933228,0.0,0.9161003232002258,0.871776819229126,0.4756244421005249,1.4186758995056152,0.9655165672302246,0.8747833371162415,0.9655165672302246,0.5238363146781921,0.9133001565933228,0.8747833371162415,2.214161014921905,21.351953831657006,74,289,702,7.212946979537127,21.243439034205363,173,4.942857142857143,78,0,17,5,1.8461618138591045,58,13.805,14.204,12.982000000000001,2545.59130804,7.311,15.19,12.417,1378.95863553,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_1.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_1.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_1,0.9143067598342896,0.9605352878570557,0.9315826892852783,0.9315826892852783,0.0,0.90998774766922,0.8674048185348511,0.4346334934234619,1.1556860208511353,0.9641964435577393,0.8673487901687622,0.9641964435577393,0.5382264852523804,0.9315826892852783,0.8673487901687622,1.6654771088189717,21.2366833305707,84,380,843,7.241639263147705,21.1446222950423,202,5.771428571428571,102,0,22,5,1.612167760751497,61,11.982999999999999,15.215,13.908,2535.7252662599994,12.39,12.885,10.821000000000002,1727.5201681500002,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_10.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_10.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_10,0.9043465852737427,0.95954829454422,0.894986093044281,0.894986093044281,0.0,0.9066867232322693,0.8625240325927734,0.5068203210830688,1.6519863605499268,0.9673439860343933,0.852285623550415,0.9673439860343933,0.519963264465332,0.894986093044281,0.852285623550415,1.9283490347963463,21.174132233428086,113,419,921,7.229579203790672,21.13002226690734,254,7.257142857142857,115,0,22,6,1.3615249121770718,67,14.164,13.575,15.047,2893.1814861,18.037,6.814,5.7010000000000005,700.676376718,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_11.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_11.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_11,0.9042906761169434,0.9576902389526367,0.9303699135780334,0.9303699135780334,0.0,0.8977708220481873,0.8055415153503418,0.4164178669452667,0.9220896363258362,0.9626051187515259,0.9104753732681274,0.9626051187515259,0.6818245649337769,0.9303699135780334,0.9104753732681274,2.247250097341192,21.97638807358561,68,334,775,7.733886048671061,21.90916614113828,180,5.142857142857143,139,5,22,3,1.1389864936188934,61,13.425,14.921,13.885000000000002,2781.365791125,8.725,13.364999999999998,12.665000000000001,1476.8609006249999,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_12.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_12.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_12,0.9038554430007935,0.9551404118537903,0.9023326635360718,0.9023326635360718,0.0,0.9042361378669739,0.8445782661437988,0.49893051385879517,1.5511281490325928,0.9619070291519165,0.8546538949012756,0.9619070291519165,0.5138794779777527,0.9023326635360718,0.8546538949012756,2.0976360504148484,21.386971518688654,97,386,853,7.359906319622473,21.231298994644675,223,6.371428571428571,105,0,20,4,1.7360591792423579,65,14.065000000000001,12.793,12.777,2299.010904465,17.537,7.366,9.876999999999999,1275.8865823339997,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_13.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_13.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_13,0.9038166999816895,0.9447845816612244,0.9130674600601196,0.9130674600601196,0.0,0.9015040397644043,0.8527670502662659,0.49668899178504944,1.3661048412322998,0.9487748146057129,0.844428300857544,0.9487748146057129,0.515221357345581,0.9130674600601196,0.844428300857544,1.891742847217877,21.187941662140904,96,405,873,7.061578785236619,21.198506503996924,229,6.542857142857143,98,0,22,4,1.791489761942663,63,12.544,15.027000000000001,14.322000000000001,2699.6782095360004,15.616999999999999,11.6,7.542,1366.2876024,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_14.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_14.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_14,0.9030864834785461,0.9524543285369873,0.8831384778022766,0.8831384778022766,0.0,0.9080734252929688,0.8526829481124878,0.5267289876937866,1.7275912761688232,0.9608171582221985,0.8524492979049683,0.9608171582221985,0.5036713480949402,0.8831384778022766,0.8524492979049683,2.2480729525529197,21.230628884211264,102,363,807,7.276988463114265,21.051412232912075,213,6.085714285714285,96,0,19,7,2.1614571262814444,63,13.359,14.421999999999999,15.08,2905.36554984,8.51,17.134999999999998,10.053,1465.9168990499998,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_15.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_15.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_15,0.9023050665855408,0.9563093781471252,0.8989287614822388,0.8989287614822388,0.0,0.9031490683555603,0.8319805264472961,0.4788171947002411,1.3869099617004395,0.9641146659851074,0.8708949685096741,0.9641146659851074,0.5550200939178467,0.8989287614822388,0.8708949685096741,2.247944394330074,21.416430468006084,106,365,820,7.340983698662614,21.252050301088598,208,5.942857142857143,97,5,19,11,2.283636382798124,56,12.445,14.405,15.306999999999999,2744.0893340749994,13.662,12.911999999999999,13.21,2330.29345824,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_16.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_16.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_16,0.8999139666557312,0.956949770450592,0.8680285215377808,0.8680285215377808,0.0,0.9078853726387024,0.8483162522315979,0.5516022443771362,1.9909577369689941,0.9674931764602661,0.8391298055648804,0.9674931764602661,0.48815637826919556,0.8680285215377808,0.8391298055648804,2.238453930729869,21.157954908263832,93,348,844,7.1623263087880025,21.0252164317041,203,5.8,92,0,18,6,2.0052160531036645,66,12.606,14.072999999999999,13.315,2362.1374289699997,19.096,5.906000000000001,6.519,735.2191825440001,35,28,6,1,0,0
3LW0_ALLOSTERIC_CCX_config_0_model_17.pdb,/data/server2/jl126/boltz-hackthon/boltz-hackathon-template/my_intermediate/predictions/boltz_results_3LW0_ALLOSTERIC_CCX_config_0/predictions/3LW0_ALLOSTERIC_CCX_config_0/3LW0_ALLOSTERIC_CCX_config_0_model_17.pdb,3LW0_ALLOSTERIC_CCX_config_0_model_17,0.8986071944236755,0.961498498916626,0.8580231666564941,0.8580231666564941,0.0,0.9087531566619873,0.8499120473861694,0.5536449551582336,2.078380584716797,0.9734651446342468,0.8171606659889221,0.9734651446342468,0.5031417608261108,0.8580231666564941,0.8171606659889221,1.8873817843775014,21.224468390532806,100,413,903,7.269650161682383,21.07284045875164,235,6.714285714285714,146,0,20,3,1.444538155973057,68,13.065000000000001,11.801,14.850999999999999,2289.728145315,7.271,10.366999999999999,17.595,1326.2839509149999,35,28,6,1,0,0
